"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"Subrogatie";"2011-01-01";;"Aantekening Zekerheidsrecht"
"2";"Huurkoop";"2011-01-01";;"Aantekening Tenaamstelling"
"3";"Koopovereenkomst, art. 10 WVG";"2011-01-01";;"Aantekening Tenaamstelling"
"4";"Koopovereenkomst, art. 10 WVG (doorhaling)";"2011-01-01";;"Aantekening Tenaamstelling"
"5";"Koopovereenkomst, art. 7:3 BW";"2011-01-01";;"Aantekening Tenaamstelling"
"6";"Koopovereenkomst, art. 7:3 BW (doorhaling)";"2011-01-01";;"Aantekening Tenaamstelling"
"7";"Koopovereenkomst, art. 7:3 BW en 10 WVG";"2011-01-01";;"Aantekening Tenaamstelling"
"8";"Koopovereenkomst, art. 7:3 BW en 10 WVG (doorhaling)";"2011-01-01";;"Aantekening Tenaamstelling"
"9";"Onderbewindstelling";"2011-01-01";;"Aantekening Tenaamstelling"
"10";"Reglement mede-eigenaren";"2011-01-01";;"Aantekening Tenaamstelling"
"11";"Rangwisseling";"2011-01-01";;"Aantekening Tenaamstelling"
"12";"Aantekening huurkoop";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"13";"Recht op gedeelte van een aanwas";"2000-01-01";;"Aantekening Tenaamstelling"
"14";"Aanvaarding nalatenschap onder voorrecht van boedelbeschrijving";"2000-01-01";;"Aantekening Tenaamstelling"
"15";"Beheer";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"16";"Bewind vererving";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"17";"Bezit";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"18";"Curatele vererving";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"19";"Doorhaling koop of voorovereenkomst tot koop";"2000-01-01";;"Aantekening Tenaamstelling"
"20";"Erfpachtcanon (mogelijk berekend)";"2000-01-01";;"Aantekening Tenaamstelling"
"21";"Einddatum recht";"2000-01-01";;"Aantekening Tenaamstelling"
"22";"Fideï commis/tweetrapsmaking";"2000-01-01";;"Aantekening Tenaamstelling"
"23";"Fiduciaire eigendomsoverdracht";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"24";"Fideï commis de residuo";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"25";"Geen volledige afstand gedaan";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"26";"Koop of voorovereenkomst tot koop zie Wet voork recht gemten";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"27";"Legaat onder last";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"28";"Lijst van rechthebbenden";"2000-01-01";;"Aantekening Tenaamstelling"
"29";"Noemen lastgever voorbehouden";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"30";"Overgedragen aan NNP in oprichting";"2000-01-01";;"Aantekening Tenaamstelling"
"31";"Onbetaalde kooppenningen";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"32";"Optie-overeenkomst, art. 10 Wet voorkeursrecht gemeenten";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"33";"Ontbindende voorwaarde";"2000-01-01";;"Aantekening Tenaamstelling"
"34";"Omschrijving zakelijk recht";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"35";"Post aan";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"36";"Privatieve last (economische overdracht)";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"37";"Privatieve last";"2000-01-01";;"Aantekening Tenaamstelling"
"38";"Provisionele veiling";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"39";"Raadpleeg brondocument";"2000-01-01";;"Aantekening Tenaamstelling"
"40";"Recht in opvolging uitgegeven";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"41";"Recht van wederinkoop";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"42";"Splitsing erfpachtcanon";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"43";"Splitsing eigendom na belasting met erfpacht";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"44";"Door schenking verkregen";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"45";"Toestemming tot bezwaring";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"46";"Toestemming tot verhuring met beding";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"47";"Toestemming tot verpachting met beding";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"48";"Toestemming tot verhuring met tijdslimiet";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"49";"Toestemming tot vervreemding";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"50";"Opschortende voorw. gedeeltelijk";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"51";"Uitsluitingsclausule t.a.v. huwelijksgoederenregiem";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"52";"Opschortende voorwaarde";"2000-01-01";;"Aantekening Tenaamstelling"
"53";"Kennisgeving ex art. 126 I.K.R. boedelscheiding";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"54";"Verdiepingseigendom";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"55";"Onder voorbehoud goedkeuring G.S.";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"56";"Kennisgeving ingevolge scheiding huwelijksgoederengemeenschap";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"57";"Verzekeringskamer";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"58";"Kennisgeving ontbinding m.b.t. rechtspersoon/niet-rechtspersoon";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"59";"Eenzijdige verklaring van verjaring";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"60";"Wijziging t.a.v. de erfpachtvoorwaarden en/of -canon";"2000-01-01";;"Aantekening Tenaamstelling"
"61";"Woonplaats keuze";"2000-01-01";"2010-08-01";"Aantekening Tenaamstelling"
"62";"Erfdienstbaarheid";"2000-01-01";;"Aantekening Object"
"63";"Erfdienstbaarheid (doorhaling)";"2000-01-01";;"Aantekening Object"
"64";"Rechtsmiddel (instelling)";"2000-01-01";;"Aantekening Object"
"65";"Rechtsvordering (instelling)";"2000-01-01";;"Aantekening Object"
"66";"Rechterlijke uitspraak (verzoekschrift)";"2000-01-01";;"Aantekening Object"
"67";"Kwalitatieve verplichting";"2000-01-01";;"Aantekening Object"
"68";"Publiekrechtelijke beperking";"2000-01-01";;"Aantekening Object"
"69";"Tevens appartementsrecht in eigendom na belasting met erfpacht";"2000-01-01";;"Aantekening Object"
"70";"Regeling artikel 18 van de Reconstr. Wet M-Delfland";"2000-01-01";;"Aantekening Object"
"71";"Locatiegegevens ontleend aan Basisregistraties Adressen en Gebouwen";"2011-06-28";;"Aantekening Object"
"72";"Bevel buitengewone omstandigheden";"2000-01-01";;"Aantekening Object"
"73";"Bevel buitengewone omstandigheden ged.";"2000-01-01";;"Aantekening Object"
"74";"BP (zak. recht/ged. pl.)";"2000-01-01";;"Aantekening Object"
"75";"BP gedeeltelijk (zak. recht/ged. pl.)";"2000-01-01";;"Aantekening Object"
"76";"Vonnis van boedelverzegeling";"2000-01-01";;"Aantekening Object"
"77";"Vonnis van boedelverzegeling ged.";"2000-01-01";;"Aantekening Object"
"78";"Doorhaling voorkeursrecht op grond van de Wet voorkeursrecht gemeenten";"2000-01-01";;"Aantekening Object"
"79";"Doorhaling voorkeursrecht op grond van de Wet voorkeursrecht gemeenten op een gedeelte";"2000-01-01";;"Aantekening Object"
"80";"Voorwaarden WKPB besluiten";"2000-01-01";;"Aantekening Object"
"81";"Voorwaarden WKPB besluiten op een gedeelte van een perceel";"2000-01-01";;"Aantekening Object"
"82";"Gebouwd met subsidie";"2000-01-01";;"Aantekening Object"
"83";"Gebouwd met subsidie ged.";"2000-01-01";;"Aantekening Object"
"84";"Gedoogplicht ex. hoofdstuk 5 Telecommunicatiewet";"2000-01-01";;"Aantekening Object"
"85";"Geluidszone ex. art.41 Wet geluidhinder";"2000-01-01";;"Aantekening Object"
"86";"Herverkavelingskosten te verwachten";"2000-01-01";;"Aantekening Object"
"87";"Herverkaveling in voorbereiding";"2000-01-01";;"Aantekening Object"
"88";"De juistheid van de grens op de kadastrale kaart is in onderzoek";"2000-01-01";;"Aantekening Object"
"89";"Instelling rechtsmiddel ged.";"2000-01-01";;"Aantekening Object"
"90";"Besluit op grond van de Interimwet Stad en Milieubenadering";"2000-01-01";;"Aantekening Object"
