"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"0000";"Onbekend";"1830-01-01";;
"5001";"Canada";"1867-07-01";;
"5002";"Frankrijk";"1830-01-01";;
"5003";"Zwitserland";"1830-01-01";;
"5004";"Rhodesië";"1965-11-11";"1979-06-01";
"5005";"Malawi";"1964-07-06";;
"5006";"Cuba";"1830-01-01";;
"5007";"Suriname";"1830-01-01";;
"5008";"Tunesië";"1830-01-01";;
"5009";"Oostenrijk";"1830-01-01";;
"5010";"België";"1830-01-01";;
"5011";"Botswana";"1966-09-30";;
"5012";"Iran";"1830-01-01";;
"5013";"Nieuwzeeland";"1830-01-01";;
"5014";"Zuidafrika";"1830-01-01";;
"5015";"Denemarken";"1830-01-01";;
"5017";"Hongarije";"1830-01-01";;
"5018";"Saoediarabië";"1830-01-01";;
"5019";"Liberia";"1847-08-10";;
"5020";"Etiopië";"1830-01-01";;
"5021";"Chili";"1830-01-01";;
"5022";"Marokko";"1830-01-01";;
"5023";"Togo";"1830-01-01";;
"5024";"Ghana";"1957-03-06";;
"5025";"Laos";"1830-01-01";;
"5026";"Angola";"1830-01-01";;
"5027";"Filipijnen";"1830-01-01";;
"5028";"Zambia";"1964-10-24";;
"5029";"Mali";"1960-06-20";;
"5030";"Ivoorkust";"1830-01-01";;
"5032";"Monaco";"1830-01-01";;
"5033";"Colombia";"1830-01-01";;
"5034";"Albanië";"1830-01-01";;
"5035";"Kameroen";"1960-01-01";;
"5037";"Singapore";"1830-01-01";;
"5038";"Paraguay";"1830-01-01";;
"5039";"Zweden";"1830-01-01";;
"5040";"Cyprus";"1830-01-01";;
"5042";"Brunei";"1830-01-01";;
"5043";"Irak";"1830-01-01";;
"5044";"Mauritius";"1830-01-01";;
"5045";"Vaticaanstad";"1929-02-11";;
"5047";"Myanmar";"1989-06-18";;
"5048";"Jemen";"1990-05-22";;
"5049";"Slovenië";"1992-01-15";;
"5051";"Kroatië";"1992-01-15";;
"5052";"Taiwan";"1830-01-01";;
"5053";"Rusland";"1991-12-31";;
"5054";"Armenië";"1991-12-31";;
"5055";"Ascension";"1830-01-01";;
"5056";"Azoren";"1830-01-01";;
"5057";"Bahrein";"1830-01-01";;
"5058";"Bhutan";"1830-01-01";;
"5060";"Comoren";"1830-01-01";;
"5061";"Falklandeilanden";"1830-01-01";;
"5062";"Frans Guyana";"1830-01-01";;
"5064";"Gilbert- en Ellice-eilanden";"1830-01-01";"1975-10-01";
"5065";"Groenland";"1830-01-01";;
"5066";"Guadeloupe";"1830-01-01";;
"5068";"Macau";"1830-01-01";"1999-12-20";
"5069";"Martinique";"1830-01-01";;
"5070";"Mozambique";"1975-06-25";;
"5071";"Pitcairneilanden";"1830-01-01";;
"5072";"Guinee Bissau";"1830-01-01";;
"5073";"Réunion";"1830-01-01";;
"5074";"Saint Pierre en Miquelon";"1830-01-01";;
"5075";"Seychellen en Amiranten";"1830-01-01";"1991-06-01";
"5076";"Tonga";"1830-01-01";;
"5077";"Wallis en Futuna";"1830-01-01";;
"5080";"Johnston";"1830-01-01";;
"5084";"Mayotte";"1830-01-01";;
"5091";"Sikkim";"1830-01-01";"1991-06-01";
"5092";"Sint Vincent en de Grenadinen";"1979-10-27";;
