"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"2BI";"Register bevattende: Stukken zonder kadastrale kenmerken";"02-07-2003";;
"4";"Inschrijvingsregister voor akten";"28-08-1995";;"Te gebruiken door productie"
"4D";"Register van voorlopige aantekeningen";"28-08-1995";;"Te gebruiken door productie"
"51";"Register bevattende: Opgaven Insp. der Reg. en Succ. houdende overlijdensgegevens";"28-08-1995";"15-07-2013";
"75";"Staat aanwijzende de uitkomsten der meting";"28-08-1995";;
"75A";"Staat m.b.t. appartementen";"28-08-1995";;
"75B";"Staat m.b.t. opgaven opnieuw berekende, gewijzigde c.q. vervallen RVK/HVK rente";"28-08-1995";"15-07-2013";
"84";"Kadastrale legger";"28-08-1995";;
"110";"Tenaamstellingskaart";"28-08-1995";;
"ACG";"Portefeuille bevattende: Stukken t.b.v. ambtelijke correctie van de gegevens";"28-08-1995";;"Te gebruiken door productie"
"ACS";"Actualiteitensysteem";"28-08-1995";;"Alleen intern "
"ADR";"Gebruikt voor adres mutaties";"28-08-1995";;
"AHV";"Portefeuille bevattende: Verzoekschriften aantekening huwelijkse voorwaarden";"28-08-1995";"03-10-1995";
"ATG";"Portefeuille bevattende: Stukken m.b.t. ambtelijke toepassing van gegevens";"28-08-1995";;"Te gebruiken door productie"
"AVH";"Portefeuille bevattende: Aantekeningen tot vastlegging huurkoopovereenkomst";"28-08-1995";"03-10-1995";
"AVK";"Portefeuille bevattende: Aantekeningen Verzekeringskamer KAD. (model II)  ";"28-08-1995";"03-10-1995";
"AWZ";"Portefeuille bevattende: Verzoekschriften adreswijziging";"28-08-1995";"15-07-2013";
"BCF";"Portefeuille bevattende: Afschriften CRM/Fin. in de zin der Natuurschoonwet 1928";"28-08-1995";"03-10-1995";
"BLK";"Bulkmutatie stuk";"28-08-1995";;
"BSA";"Burgelijke staat AKR";"18-10-2004";;
"BTO";"Portefeuille bevattende: Bezwaarschriften tegen overboeking";"28-08-1995";"03-10-1995";
"BVG";"Portefeuille bevattende: Bouwvergunningen";"28-08-1995";"15-07-2013";
"CDB";"Portefeuille bevattende: Correcties database";"28-08-1995";"15-07-2013";
"DB";"Gebruikt voor het ambtshalve doorhalen van objekt belemmeringen DV(D)";"07-07-2009";;
"DBB";"Portefeuille bevattende: Afschriften proces-verbaal domeinbeheerder houdende beheersoverdracht";"28-08-1995";"15-07-2013";
"DO";"Gebruikt voor het ambtshalve doorhalen van zakelijk recht belemmeringen KW & DO";"11-06-2002";;
"GBO";"Portefeuille bevattende: Verklaringen van geen bezwaar tegen overboeking";"28-08-1995";"03-10-1995";
"HNW";"Portefeuille bevattende: Besluiten handhaving Natuurschoonwet";"28-08-1995";"03-10-1995";
"IBB";"Portefeuille bevattende: Stukken m.b.t. invoering van bijzondere belastingplichtige";"28-08-1995";"15-07-2013";
"INQ";"Inquiry-stuk";"28-08-1995";;"Alleen intern "
"KON";"Gebruikt voor konversie mutaties ";"28-08-1995";"15-07-2013";
"KPA";"Gebruikt voor mutaties afkomstig uit de landelijke subjektendatabase (KPA)";"27-07-1995";"15-07-2013";
"LBD";"Portefeuille bevattende: Mededelingen/opgaven afkomstig van Landmeetkundige Binnendienst";"28-08-1995";;"Te gebruiken door productie"
"LWB";"Portefeuille bevattende: Lijsten m.b.t. leningen o.g.v. Wet Bezitvormingsfonds";"28-08-1995";"03-10-1995";
"MAG";"Melding Authentiek Gegeven";"12-12-2007";;
"MBW";"Portefeuille bevattende: Mededelingen/besluiten ingevolge woningwet";"28-08-1995";"03-10-1995";
"MIL";"Portefeuille bevattende: Stukken m.b.t. Milieuwetgeving";"28-08-1995";"15-07-2013";
"MVA";"Portefeuille bevattende: Mededelingen dat verzoek is afgewezen cq stukken geen verzoek is ingediend";"28-08-1995";"15-07-2013";"Wijziging omschrijving 08-05-2006"
"MVK";"Portefeuille bevattende: Aantekeningen machtiging Verzekeringskamer Kad. (model III)";"28-08-1995";"03-10-1995";
"NNW";"Portefeuille bevattende: Mededelingen dat percelen niet meer onder de Natuurschoonwet vallen.";"28-08-1995";"03-10-1995";
"ODB";"Portefeuille bevattende: Opgaven Domeinbeheer";"28-08-1995";"15-07-2013";
"OSR";"Portefeuille bevattende: Opgaven schap m.b.t. wijziging objekt-schap-relatie";"28-08-1995";;
"OVO";"Portefeuille bevattende: Verklaringen ontbindende voorwaarde onvervulbaar";"28-08-1995";"03-10-1995";
"POS";"Portefeuille bevattende: Overige stukken ";"28-08-1995";;
"PTT";"Gebruikt voor PTT-mutaties";"28-08-1995";;"Alleen intern "
"REC";"Portefeuille bevattende: Interne rectificaties";"28-08-1995";;"Te gebruiken door productie"
"R14";"Portefeuille bevattende: Berekeningen ruil- of herverkavelingsrente";"28-08-1995";;
"SBB";"Portef. bevattende: Afschriften proces-verbaal direkteur Staatsbosbeheer houdende beheersoverdracht";"28-08-1995";"15-07-2013";"Wijziging omschrijving 08-05-2006"
"SYN";"Gebruikt voor synchronisatie KVS-AKR";"27-07-2004";;
"TAE";"Portefeuille bevattende: Verzoekschriften ten name stellen van de huwelijkse partner";"28-08-1995";"03-10-1995";
"TPV";"Portef. bevattende: Verzoekschr. ten name stellen van de echtgenote m.b.t boeking verricht voor 01-01-1957";"28-08-1995";"03-10-1995";"Wijziging omschrijving 08-05-2006"
"UVO";"Portefeuille bevattende: Verklaringen opschortende voorwaarde onvervulbaar";"28-08-1995";"03-10-1995";
"VKV";"Portefeuille bevattende: Aantekeningen Verzekeringskamer Kad. vervalt (mod IV)";"28-08-1995";"03-10-1995";
"VNB";"Portefeuille bevattende: Besluiten verzoek nieuwe beschikking";"28-08-1995";"03-10-1995";
"VOS";"Portefeuille bevattende: Opdrachten tot voorlopige oude stand aanvrage (niet gearchiveerd stuk)";"28-08-1995";;
"WPB";"Gebruikt voor opvoer publiekrechtelijke beperkingen";"04-06-2007";;
"WPT";"Portefeuille bevattende: Verzoekschriften wijziging primitieve tenaamstelling";"28-08-1995";"03-10-1995";
"WZN";"Portefeuille bevattende: Verzoekschriften wijziging (voor)-naam";"28-08-1995";"03-10-1995";
