"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"Overgegaan in appartementsrechten/-objecten";"2011-01-01";"2011-01-01";
"2";"Vernummering wijziging bewaringsgrenzen";"2011-01-01";;
"3";"Overgegaan in complex";"2011-01-01";"2011-01-01";
"4";"Overgegaan in deelpercelen";"2011-01-01";;
"5";"Beklemming";"2011-01-01";"2011-01-01";
"6";"Overgegaan in fysiek complex";"2011-01-01";"2011-01-01";
"7";"Opgeheven appartementsrecht/complex";"2011-01-01";"2011-01-01";
"8";"Herstel van fouten";"2011-01-01";;
"9";"Kavelruil";"2011-01-01";"2011-01-01";"Kavelruil is geen goede waarde, kavelruil is gewoon koop verkoop"
"10";"Herleving moederperceel";"2011-01-01";;
"11";"Restdeelperceel nul";"2011-01-01";;
"12";"Vernummering uit ongenummerd";"2011-01-01";;
"13";"Ruilverkaveling";"2011-01-01";;
"14";"Vernummering";"2011-01-01";;
