"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"B";"Baron";"2011-01-01";;"titel"
"BS";"Barones";"2011-01-01";;"titel"
"G";"Graaf";"2011-01-01";;"titel"
"GI";"Gravin";"2011-01-01";;"titel"
"H";"Hertog";"2011-01-01";;"titel"
"HI";"Hertogin";"2011-01-01";;"titel"
"JH";"Jonkheer";"2011-01-01";;"predikaat"
"JV";"Jonkvrouw";"2011-01-01";;"predikaat"
"M";"Markies";"2011-01-01";;"titel"
"MI";"Markiezin";"2011-01-01";;"titel"
"P";"Prins";"2011-01-01";;"titel"
"PS";"Prinses";"2011-01-01";;"titel"
"R";"Ridder";"2011-01-01";;"titel"
