"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1000";"Hoogerheide";;;
"1001";"Huijbergen";;;
"1002";"Ossendrecht";;;
"1003";"Putte";;;
"1004";"Woensdrecht";;;
"1005";"Gouda";;;
"1006";"Waalre";;;
"1007";"Middelburg";;;
"1008";"Arnemuiden";;;
"1009";"Nieuw- en Sint Joosland";;;
"1010";"Etten-Leur";;;
"1011";"Huizen";;;
"1012";"Weesp";;;
"1013";"Soest";;;
"1014";"Soesterberg";;;
"1015";"Vlaardingen";;;
"1016";"Nieuwerkerk aan den IJssel";;;
"1017";"Foxhol";;;
"1018";"Hoogezand";;;
"1019";"Kiel-Windeweer";;;
"1020";"Kropswolde";;;
"1021";"Sappemeer";;;
"1022";"Waterhuizen";;;
"1023";"Westerbroek";;;
"1024";"Amsterdam";;;
"1025";"Amsterdam Zuidoost";;;
"1026";"America";;;
"1027";"Broekhuizen";;;
"1028";"Broekhuizenvorst";;;
"1029";"Griendtsveen";;;
"1030";"Grubbenvorst";;;
"1031";"Hegelsom";;;
"1032";"Horst";;;
"1033";"Lottum";;;
"1034";"Melderslo";;;
"1035";"Meterik";;;
"1036";"Hilversum";;;
"1037";"Eemnes";;;
"1038";"Daarle";;;
"1039";"Daarlerveen";;;
"1040";"Haarle";;;
"1041";"Hellendoorn";;;
"1042";"Nijverdal";;;
"1043";"Tilburg";;;
"1044";"Berkel-Enschot";;;
"1045";"Udenhout";;;
"1046";"Staphorst";;;
"1047";"Rouveen";;;
"1048";"IJhorst";;;
"1049";"Punthorst";;;
"1050";"Amstelveen";;;
"1051";"Lelystad";;;
"1052";"Naarden";;;
"1053";"Andijk";;;
"1054";"Barneveld";;;
"1055";"Voorthuizen";;;
"1056";"Kootwijkerbroek";;;
"1057";"Garderen";;;
"1058";"Terschuur";;;
"1059";"Stroe";;;
"1060";"Zwartebroek";;;
"1061";"De Glind";;;
"1062";"Kootwijk";;;
"1063";"Achterveld";;;
"1064";"Bladel";;;
"1065";"Hapert";;;
"1066";"Hoogeloon";;;
"1067";"Casteren";;;
"1068";"Netersel";;;
"1069";"Maassluis";;;
"1070";"Groningen";;;
"1071";"Woerden";;;
"1072";"Harmelen";;;
"1073";"Kamerik";;;
"1074";"Zegveld";;;
"1075";"Zeewolde";;;
"1076";"Oost-Souburg";;;
"1077";"Ritthem";;;
"1078";"Vlissingen";;;
