"Code";"Waarde";"DatumVanaf";"DatumTot"
"1";"Aalburg";"2000-01-01";
"2";"Aalsmeer";"2000-01-01";
"3";"Aalst Gelderland";"2000-01-01";
"4";"Aalst Noord-Brabant";"2000-01-01";
"5";"Aalten";"2000-01-01";
"6";"Aardenburg";"2000-01-01";
"7";"Aarlanderveen";"2000-01-01";
"8";"Aarle-Rixtel";"2000-01-01";
"9";"Abbekerk";"2000-01-01";"2009-01-01"
"10";"Abbenbroek";"2000-01-01";
"11";"Abcoude";"2000-01-01";
"12";"Abstede";"2000-01-01";
"13";"Adorp";"2000-01-01";
"14";"Aduard";"2000-01-01";
"15";"Aerdt";"2000-01-01";
"16";"Afferden";"2000-01-01";
"17";"Akersloot";"2000-01-01";
"18";"Akkerwoude";"2000-01-01";
"19";"Akkrum";"2000-01-01";
"20";"Alblasserdam";"2000-01-01";
"21";"Alem";"2000-01-01";
"22";"Alkemade";"2000-01-01";
"23";"Alkmaar";"2000-01-01";
"24";"Almen";"2000-01-01";
"25";"Almere";"2000-01-01";
"26";"Alphen";"2000-01-01";
"27";"Alphen aan den Rijn";"2000-01-01";
"28";"Alphen en Riel";"2000-01-01";
"29";"Ambt-Almelo";"2000-01-01";
"30";"Ambt-Delden";"2000-01-01";
"31";"Ambt-Doetinchem";"2000-01-01";
"32";"Ambt-Hardenberg";"2000-01-01";
"33";"Ambt-Ommen";"2000-01-01";
"34";"Amby";"2000-01-01";
"35";"Ameide";"2000-01-01";
"36";"Amerongen";"2000-01-01";
"37";"Amersfoort";"2000-01-01";
"38";"Ammerstol";"2000-01-01";
"39";"Ammerzoden";"2000-01-01";
"40";"Amstelveen";"2000-01-01";
"41";"Amstenrade";"2000-01-01";
"42";"Amsterdam";"2000-01-01";
"43";"Andijk";"2000-01-01";
"44";"Angeren";"2000-01-01";
"45";"Angerlo";"2000-01-01";
"46";"Anjum";"2000-01-01";
"47";"Ankeveen";"2000-01-01";
"48";"Anloo";"2000-01-01";
"49";"Anna Paulowna";"2000-01-01";
"50";"Apeldoorn";"2000-01-01";
"51";"Appeltern";"2000-01-01";
"52";"Appingedam";"2000-01-01";
"53";"Arcen en Velden";"2000-01-01";
"54";"Arkel";"2000-01-01";
"55";"Arnemuiden";"2000-01-01";
"56";"Arnhem";"2000-01-01";
"57";"Arum";"2000-01-01";
"58";"Asperen";"2000-01-01";
"59";"Assen";"2000-01-01";
"60";"Assendelft";"2000-01-01";
"61";"Asten";"2000-01-01";
"62";"Avereest";"2000-01-01";
"63";"Axel";"2000-01-01";
"64";"Baambrugge";"2000-01-01";
"65";"Baard";"2000-01-01";
"66";"Baardwijk";"2000-01-01";"2009-01-01"
"67";"Baarle-Nassau";"2000-01-01";
"68";"Baarn";"2000-01-01";
"69";"Baexem";"2000-01-01";
"70";"Baflo";"2000-01-01";
"71";"Bahr en Lathum";"2000-01-01";
"72";"Bakel en Milheeze";"2000-01-01";
"73";"Balgoy";"2000-01-01";
"74";"Balk";"2000-01-01";
"75";"Ballum";"2000-01-01";
"76";"Barendrecht";"2000-01-01";
"77";"Barneveld";"2000-01-01";
"78";"Barsingerhorn";"2000-01-01";
"79";"Barwoutswaarder";"2000-01-01";
"80";"Batenburg";"2000-01-01";
"81";"Bath";"2000-01-01";"2009-01-01"
"82";"Bathmen";"2000-01-01";
"83";"Bedum";"2000-01-01";
"84";"Beegden";"2000-01-01";
"85";"Beek";"2000-01-01";
"86";"Beek en Donk";"2000-01-01";
"87";"Beekbergen";"2000-01-01";
"88";"Beemster";"2000-01-01";
"89";"Beers";"2000-01-01";"2009-01-01"
"90";"Beerta";"2000-01-01";
"91";"Beesd";"2000-01-01";
"92";"Beesel";"2000-01-01";
"93";"Beetgum";"2000-01-01";
"94";"Beets";"2000-01-01";
"95";"Beetsterzwaag";"2000-01-01";
"96";"Beilen";"2000-01-01";
"97";"Belfeld";"2000-01-01";
"98";"Bellingwolde";"2000-01-01";
"99";"Beltrum";"2000-01-01";"2009-01-01"
"100";"Bemelen";"2000-01-01";
"101";"Bemmel";"2000-01-01";
"102";"Bennebroek";"2000-01-01";
"103";"Bennekom";"2000-01-01";
"104";"Benschop";"2000-01-01";
"105";"Benthuizen";"2000-01-01";
"106";"Berg en Terblijt";"2000-01-01";
"107";"Bergambacht";"2000-01-01";
"108";"Bergeijk";"2000-01-01";
"109";"Bergen Limburg";"2000-01-01";
"110";"Bergen Noord-Holland";"2000-01-01";
"111";"Bergen op Zoom";"2000-01-01";
"112";"Bergh";"2000-01-01";
"113";"Bergharen";"2000-01-01";
"114";"Berghem";"2000-01-01";
"115";"Bergschenhoek";"2000-01-01";
"116";"Bergum";"2000-01-01";
"117";"Berkel";"2000-01-01";
"118";"Berkel en Rodenrijs";"2000-01-01";
"119";"Berkenwoude";"2000-01-01";
"120";"Berlicum";"2000-01-01";
"121";"Berlikum";"2000-01-01";
"122";"Bernisse";"2000-01-01";
"123";"Besoijen";"2000-01-01";"2009-01-01"
"124";"Best";"2000-01-01";
"125";"Beuningen";"2000-01-01";
"126";"Beusichem";"2000-01-01";
"127";"Beverwijk";"2000-01-01";
"128";"Bierum";"2000-01-01";
"129";"Bingelrade";"2000-01-01";
"130";"Birdaard";"2000-01-01";
"131";"Bladel";"2000-01-01";
"132";"Blankenham";"2000-01-01";
"133";"Blaricum";"2000-01-01";
"134";"Bleiswijk";"2000-01-01";
"135";"Blesdijke";"2000-01-01";
"136";"Bleskensgraaf";"2000-01-01";
"137";"Blija";"2000-01-01";
"138";"Bloemendaal";"2000-01-01";
"139";"Blokzijl";"2000-01-01";
"140";"Bocholtz";"2000-01-01";
"141";"Bodegraven";"2000-01-01";
"142";"Boekel";"2000-01-01";
"143";"Bolsward";"2000-01-01";
"144";"Boornbergum";"2000-01-01";
"145";"Borculo";"2000-01-01";
"146";"Borger";"2000-01-01";
"147";"Borgharen";"2000-01-01";
"148";"Borkel en Schaft";"2000-01-01";
"149";"Born";"2000-01-01";
"150";"Borne";"2000-01-01";
"151";"Borsele";"2000-01-01";
"152";"Boskoop";"2000-01-01";
"153";"Bovenkarspel";"2000-01-01";"2009-01-01"
"154";"Boxmeer";"2000-01-01";
"155";"Boxtel";"2000-01-01";
"156";"Brakel";"2000-01-01";
"157";"Brandwijk";"2000-01-01";
"158";"Breda";"2000-01-01";
"159";"Brederwiede";"2000-01-01";
"160";"Bredevoort";"2000-01-01";
"161";"Breukelen";"2000-01-01";
"162";"Breukelen Sint Pieters";"2000-01-01";
"163";"Breukelen-Nijenrode";"2000-01-01";
"164";"Brielle";"2000-01-01";
"165";"Broek in Waterland";"2000-01-01";
"166";"Broekhuizen";"2000-01-01";
"167";"Broeksittard";"2000-01-01";"2009-01-01"
"168";"Brouwershaven";"2000-01-01";
"169";"Bruinisse";"2000-01-01";
"170";"Brummen";"2000-01-01";
"171";"Brunssum";"2000-01-01";
"172";"Budel";"2000-01-01";
"173";"Buggenum";"2000-01-01";
"174";"Buitenpost";"2000-01-01";
"175";"Bunde";"2000-01-01";
"176";"Bunnik";"2000-01-01";
"177";"Bunschoten";"2000-01-01";
"178";"Buren";"2000-01-01";
"179";"Burgwerd";"2000-01-01";
"180";"Burum";"2000-01-01";
"181";"Bussum";"2000-01-01";
"182";"Buurmalsen";"2000-01-01";
"183";"Cadier en Keer";"2000-01-01";
"184";"Cadzand";"2000-01-01";"2009-01-01"
"185";"Callantsoog";"2000-01-01";
"186";"Capelle";"2000-01-01";
"187";"Capelle aan den IJssel";"2000-01-01";
"188";"Castricum";"2000-01-01";
"189";"Catharijne";"2000-01-01";
"190";"Chaam";"2000-01-01";
"191";"Charlois";"2000-01-01";
"192";"Clinge";"2000-01-01";"2009-01-01"
"193";"Coevorden";"2000-01-01";
"194";"Cothen";"2000-01-01";
"195";"Cuijk";"2000-01-01";
"196";"Culemborg";"2000-01-01";
"197";"Dalen";"2000-01-01";
"198";"Dalfsen";"2000-01-01";
"199";"de Bilt";"2000-01-01";
"200";"de Lier";"2000-01-01";
"201";"de Rijp";"2000-01-01";
"202";"De Wijk";"2000-01-01";
"203";"Deil";"2000-01-01";
"204";"Deinum";"2000-01-01";
"205";"Delfshaven";"2000-01-01";
"206";"Delft";"2000-01-01";
"207";"Delfzijl";"2000-01-01";
"208";"den Bommel";"2000-01-01";
"209";"den Dungen";"2000-01-01";
"210";"den Ham";"2000-01-01";
"211";"Den Helder";"2000-01-01";
"212";"Denekamp";"2000-01-01";
"213";"Deurne";"2000-01-01";
"214";"Deventer";"2000-01-01";
