"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"1";"Aangeboden op verkeerd formulier c.q. in verkeerd register";"2008-05-25";;
"2";"Bewijsstukken bij notariële verklaring ontbreken";"2010-11-17";;
"3";"Bij doorhaling ontbreekt oorspronkelijke kadaster vestiging";"2011-05-12";;
"4";"Bij registerverklaring ontbreekt artikel 37 verklaring notaris";"1998-01-01";;
"5";"Bij registerverklaring ontbreken aangehechte stukken";"1998-01-01";;
"6";"Bij splitsingsakte ontbreekt verklaring huisvestingswet artikel 33";"2011-05-12";;
"7";"De vereiste WVG verklaring ontbreekt";"2011-05-12";;
"8";"Depotstuk niet gekoppeld met Web-ELAN";"2010-11-17";;
"9";"Eensluidendheid onder digitaal stuk ipv equivalentie";"2010-03-22";;
"10";"Equivalentieverklaring analoog stuk ipv eensluidendheidverklaring";"2010-03-22";;
"11";"Equivalentieverklaring verklaard depotstuk niet equivalent";"2010-03-22";;
"12";"Geboortedatum ontbreekt";"2011-05-12";;
"13";"Geen equivalentieverklaring onder stuk of bijlage";"2011-05-12";;
"14";"Geen inschrijfbaar feit";"2011-05-12";;
"15";"Geen kadastrale aanduiding";"2011-05-12";;
"16";"Geen verklaring van eensluidendheid";"2011-05-12";;
"17";"Geen verwijzing naar deel/nummer oorspronkelijke akte";"2011-05-12";;
"18";"Geen woonplaats in NL gekozen (buitenlandse partij)";"2011-05-12";;
"19";"Met toestemming van de bewaarders";"2011-05-12";;
"20";"Nationaliteitsverklaring ontbreekt";"2011-01-01";;
"21";"Reden waardeloosheid ontbreekt in verklaring van waardeloosheid";"2011-05-12";;
"22";"Splitsingstekening (niet depot) ontbreekt";"2010-11-17";;
"23";"Stuk of gedeelte van stuk in vreemde taal";"2011-05-12";;
"24";"Vennoten VOF, Maatschap of CV ontbreken";"2010-03-22";;
"25";"Verklaring van niet voltooiing ontbreekt";"2011-01-01";;
"26";"Voornaam ontbreekt in voetverklaring";"2011-05-12";;
"27";"Waardeloosheid: de verkeerde verklaart waardeloos";"2011-05-12";;
"28";"Waardeloosheid: ontbreekt verklaring notaris mbt rechtsgrond";"2010-03-22";;
"29";"Waardeloosheid: ontbreken aangehechte stukken";"1998-01-01";;
"30";"Zetel bij privaatrechtelijke rechtspersoon ontbreekt";"2010-03-22";;
"31";"Andere reden";"2011-01-01";;
