"Code","Waarde","DatumVanaf","DatumTot"
"1","ABG00","2000-01-01",
"2","AMR03","2000-01-01",
"3","AAL02","2000-01-01",
"4","AAL01","2000-01-01",
"5","ATN02","2000-01-01",
"6","ADB00","2000-01-01",
"7","ALD00","2000-01-01",
"8","ALE00","2000-01-01",
"9","ABK00","2000-01-01","2009-01-01"
"10","ABB00","2000-01-01",
"11","ACD00","2000-01-01",
"12","ASD40","2000-01-01",
"13","ADP00","2000-01-01",
"14","ADA00","2000-01-01",
"15","AER00","2000-01-01",
"16","AFD00","2000-01-01",
"17","AKS01","2000-01-01",
"18","AKW00","2000-01-01",
"19","AKM02","2000-01-01",
"20","ABS01","2000-01-01",
"21","ALM00","2000-01-01",
"22","AKM01","2000-01-01",
"23","AMR01","2000-01-01",
"24","AMN00","2000-01-01",
"25","AMR04","2000-01-01",
"26","APN02","2000-01-01",
"27","APN01","2000-01-01",
"28","APN03","2000-01-01",
"29","AML01","2000-01-01",
"30","DDN01","2000-01-01",
"31","DTC01","2000-01-01",
"32","HDB01","2000-01-01",
"33","OMN01","2000-01-01",
"34","ABY00","2000-01-01",
"35","AMD00","2000-01-01",
"36","AMR02","2000-01-01",
"37","AMF00","2000-01-01",
"38","AMS01","2000-01-01",
"39","AMZ00","2000-01-01",
"40","ASV00","2000-01-01",
"41","ASR00","2000-01-01",
"42","ASD02","2000-01-01",
"43","ASD03","2000-01-01",
"44","ASD04","2000-01-01",
"45","ASD05","2000-01-01",
"46","ASD06","2000-01-01",
"47","ASD07","2000-01-01",
"48","ASD08","2000-01-01",
"49","ASD09","2000-01-01",
"50","ASD10","2000-01-01",
"51","ASD11","2000-01-01",
"52","ASD12","2000-01-01",
"53","ASD13","2000-01-01",
"54","ASD14","2000-01-01",
"55","ASD15","2000-01-01",
"56","ASD16","2000-01-01",
"57","ASD17","2000-01-01",
"58","ASD18","2000-01-01",
"59","ASD19","2000-01-01",
"60","ASD20","2000-01-01",
"61","ASD21","2000-01-01",
"62","ASD22","2000-01-01",
"63","ASD23","2000-01-01",
"64","ASD24","2000-01-01",
"65","ASD25","2000-01-01",
"66","ASD26","2000-01-01",
"67","ASD27","2000-01-01",
"68","ASD28","2000-01-01",
"69","ASD29","2000-01-01",
"70","ASD30","2000-01-01",
"71","ASD31","2000-01-01",
"72","ASD32","2000-01-01",
"73","ASD33","2000-01-01",
"74","ASD34","2000-01-01",
"75","ASD35","2000-01-01",
"76","ASD36","2000-01-01",
"77","ASD37","2000-01-01",
"78","ASD38","2000-01-01","2009-01-01"
"79","ASD39","2000-01-01","2009-01-01"
"80","ASD41","2000-01-01",
"81","ASD42","2000-01-01",
"82","ASD43","2000-01-01",
"83","ADK00","2000-01-01",
"84","AGR00","2000-01-01",
"85","AGL00","2000-01-01",
"86","AJM00","2000-01-01",
"87","AKV00","2000-01-01",
"88","ALO00","2000-01-01",
"89","ANA01","2000-01-01",
"90","APD01","2000-01-01",
"91","APD02","2000-01-01",
"92","APD03","2000-01-01",
"93","APD04","2000-01-01",
"94","APT00","2000-01-01",
"95","APG00","2000-01-01",
"96","ACN00","2000-01-01",
"97","AKL00","2000-01-01",
"98","ANM00","2000-01-01",
"99","AHM01","2000-01-01",
"100","AHM02","2000-01-01",
"101","AHM03","2000-01-01",
"102","AHM04","2000-01-01",
"103","AHM05","2000-01-01",
"104","ARM00","2000-01-01",
"105","APR00","2000-01-01",
"106","ASN00","2000-01-01",
"107","ASD01","2000-01-01",
"108","ATN01","2000-01-01",
"109","AVE00","2000-01-01",
"110","AEL00","2000-01-01",
"111","BBG02","2000-01-01",
"112","BAA02","2000-01-01",
"113","BWK03","2000-01-01","2009-01-01"
"114","BLE01","2000-01-01",
"115","BAA01","2000-01-01",
"116","BXM00","2000-01-01",
"117","BLO00","2000-01-01",
"118","BAH00","2000-01-01",
"119","BKL02","2000-01-01",
"120","BGY00","2000-01-01",
"121","BAL00","2000-01-01",
"122","BLM00","2000-01-01",
"123","BRD00","2000-01-01",
"124","BNV00","2000-01-01",
"125","BSG00 ","2000-01-01",
"126","BWW00","2000-01-01",
"127","BTB00","2000-01-01",
"128","BAT00","2000-01-01","2009-01-01"
"129","BMN02","2000-01-01",
"130","BDM00","2000-01-01",
"131","BDN00","2000-01-01",
"132","BEE02","2000-01-01",
"133","BEE01","2000-01-01",
"134","BBG01","2000-01-01",
"135","BSR00","2000-01-01",
"136","BEE04","2000-01-01","2009-01-01"
"137","BTA00","2000-01-01",
"138","BEE03","2000-01-01",
"139","BSL02","2000-01-01",
"140","BGM01","2000-01-01",
"141","BEE05","2000-01-01",
"142","BSZ00","2000-01-01",
"143","BLN00","2000-01-01",
"144","BFD00","2000-01-01",
"145","BLW00","2000-01-01",
"146","BTM00","2000-01-01","2009-01-01"
"147","BML01","2000-01-01",
"148","BML02","2000-01-01",
"149","BNB00","2000-01-01",
"150","BNK01","2000-01-01",
"151","BSP00","2000-01-01",
"152","BHZ02","2000-01-01",
"153","BER01","2000-01-01",
"154","BAB00","2000-01-01",
"155","BEK00","2000-01-01",
"156","BGN02","2000-01-01",
"157","BGN03","2000-01-01",
"158","BGN01","2000-01-01",
"159","BER02","2000-01-01",
"160","BHR02","2000-01-01",
"161","BHM00","2000-01-01",
"162","BSH00","2000-01-01",
"163","BGM02","2000-01-01",
"164","BKL04","2000-01-01",
"165","BKL01","2000-01-01",
"166","BKW00","2000-01-01",
"167","BLC00","2000-01-01",
"168","BLK00","2000-01-01",
"169","BNS04","2000-01-01",
"170","BSE00","2000-01-01","2009-01-01"
"171","BES00","2000-01-01",
"172","BNG00","2000-01-01",
"173","BSC00","2000-01-01",
"174","BVW00","2000-01-01",
"175","BRM01","2000-01-01",
"176","BGR02","2000-01-01",
"177","BDD00","2000-01-01",
"178","BDL01","2000-01-01",
"179","BKH00","2000-01-01",
"180","BRC00","2000-01-01",
"181","BWK02","2000-01-01",
"182","BDK00","2000-01-01",
"183","BKG00","2000-01-01",
"184","BJA00","2000-01-01",
"185","BMD00","2000-01-01",
"186","BZL00","2000-01-01",
"187","BCZ00","2000-01-01",
"188","BDG00","2000-01-01",
"189","BKL05","2000-01-01",
"190","BWD01","2000-01-01",
"191","BBG03","2000-01-01",
"192","BCL00","2000-01-01",
"193","BGR01","2000-01-01",
"194","BHR01","2000-01-01",
"195","BKL06","2000-01-01",
"196","BOR00","2000-01-01",
"197","BNE00","2000-01-01",
"198","BSL01","2000-01-01",
"199","BKP00","2000-01-01",
"200","BVK00","2000-01-01","2009-01-01"
"201","BMR00","2000-01-01",
"202","BTL00","2000-01-01",
"203","BKL08","2000-01-01",
"204","BWK01","2000-01-01",
"205","BDA00","2000-01-01",
"206","BDW00","2000-01-01",
"207","BDV00","2000-01-01",
"208","BKL09","2000-01-01",
"209","BKL03","2000-01-01",
"210","BKL07","2000-01-01",
"211","BLE02","2000-01-01",
"212","BRO00","2000-01-01",
"213","BHZ01","2000-01-01",
"214","BST02","2000-01-01","2009-01-01"
"215","BWH00","2000-01-01",
"216","BNS00","2000-01-01",
"217","BMN01","2000-01-01",
"218","BSM02","2000-01-01",
"219","BDL02","2000-01-01",
"220","BGN04","2000-01-01",
"221","BTP00","2000-01-01",
"222","BDE00","2000-01-01",
"223","BNK02","2000-01-01",
"224","BST01","2000-01-01",
"225","BRN00","2000-01-01",
"226","BWD02","2000-01-01",
"227","BRM02","2000-01-01",
"228","BSM01","2000-01-01",
"229","BMS00","2000-01-01",
"230","CDR00","2000-01-01",
"231","CZD00","2000-01-01","2009-01-01"
"232","CLO00","2000-01-01",
