"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"0","Initieel","2011-01-01","2012-03-21",
"25","Terrein (industrie)","2011-01-01",,
"34","Parkeren ","2011-01-01",,
"35","Defensie","2011-01-01",,
"41","Wegen","2011-01-01",,
"44","Openbaar vervoer","2011-01-01",,
"46","Luchtverkeer","2011-01-01",,
"47","Leidingen - Buizen","2011-01-01",,
"51","Recreatie - Sport","2011-01-01",,
"55","Parken - Plantsoenen","2011-01-01",,
"57","Erf - Tuin","2011-01-01",,
"61","Terrein (natuur)","2011-01-01",,
"62","Terrein (akkerbouw)","2011-01-01",,
"63","Terrein (grasland)","2011-01-01",,
"66","Terrein (teelt - kweek)","2011-01-01",,
"77","Godsdienst","2011-01-01",,
"85","Haven","2011-01-01",,
"87","Bouwwerken - Waterwerken","2011-01-01",,
"89","Water","2011-01-01",,
"92","Terrein (nieuwbouw - bedrijvigheid)","2011-01-01",,
"93","Terrein (nieuwbouw - wonen)","2011-01-01",,
"94","Uitvaart","2011-01-01",,
"99","Bijzondere objecten","2011-01-01",,
"100","Perceel grond - gebruik onbekend","2018-09-01",,
