"Code","Waarde","DatumVanaf","DatumTot","SAP Artikel","SAP Artikelnaam","Register"
"503","afstand huwelijksgemeenschap","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"503","afstand huwelijksgemeenschap","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
"504","algemene voorwaarden","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"504","algemene voorwaarden","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"508","beheeroverdracht","2017-10-01",,"BRK0003","OZ4 Wijziging rechthebbende","Hyp4"
"509","bekrachtiging","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"509","bekrachtiging","2017-10-01",,"BRK0018","OZ3 Aantekening/wijziging registratie","Hyp3"
"510","beperking op basis van een overheidsbesluit (doorhaling)","2016-01-01",,"BRK0009","OZ4 Besluit bestuursorgaan","Hyp4"
"511","beperking op basis van een overheidsbesluit (handhaving)","2017-10-01",,"BRK0009","OZ4 Besluit bestuursorgaan","Hyp4"
"512","beperking op basis van een overheidsbesluit (vestiging)","2016-01-01",,"BRK0009","OZ4 Besluit bestuursorgaan","Hyp4"
"513","beperking op basis van een overheidsbesluit (wijziging)","2017-10-01",,"BRK0009","OZ4 Besluit bestuursorgaan","Hyp4"
"516","beperkt recht (wijziging voorwaarden)","2017-10-01",,"BRK0008","OZ4 Aantekening/wijziging registratie","Hyp4"
"517","beslag","2017-10-01",,"BRK0006","OZ4 Wijziging registratie","Hyp4"
"517","beslag","2017-10-01",,"BRK0014","OZ3 Beslag","Hyp3"
"518","beslag (doorhaling)","2017-10-01",,"BRK0022","OZ4 Doorhaling","Hyp4"
"518","beslag (doorhaling)","2017-10-01",,"BRK0015","OZ3 Doorhaling","Hyp3"
"519","beslag (omzetting)","2017-10-01",,"BRK0014","OZ3 Beslag","Hyp3"
"521","bewaardersverklaring","2017-10-01",,"BRK0001","OZ4 Inschrijving kosteloos","Hyp4"
"521","bewaardersverklaring","2017-10-01",,"BRK0002","OZ3 Inschrijving kosteloos","Hyp3"
