"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Subrogatie","2011-01-01","2018-09-01","Aantekening Zekerheidsrecht"
"2","Huurkoop","2011-01-01",,"Aantekening Tenaamstelling"
"3","Koopovereenkomst of Voorovereenkomst koop, art. 10 WVG","2011-01-01",,"Aantekening Tenaamstelling"
"4","Koopovereenkomst, art. 10 WVG (doorhaling)","2011-01-01","2018-09-01","Aantekening Tenaamstelling"
"5","Koopovereenkomst, art. 7:3 BW","2011-01-01",,"Aantekening Tenaamstelling"
"6","Koopovereenkomst, art. 7:3 BW (doorhaling)","2011-01-01","2018-09-01","Aantekening Tenaamstelling"
"7","Koopovereenkomst, art. 7:3 BW en 10 WVG","2011-01-01",,"Aantekening Tenaamstelling"
"8","Koopovereenkomst, art. 7:3 BW en 10 WVG (doorhaling)","2011-01-01","2018-09-01","Aantekening Tenaamstelling"
"9","Onderbewindstelling","2011-01-01",,"Aantekening Tenaamstelling"
"10","Reglement mede-eigenaren","2011-01-01",,"Aantekening Zekerheidsrecht"
"11","Rangwisseling","2011-01-01",,"Aantekening Zekerheidsrecht"
"12","Aantekening huurkoop","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"13","Recht op gedeelte van een aanwas","2000-01-01",,"Aantekening Tenaamstelling"
"14","Aanvaarding nalatenschap onder voorrecht van boedelbeschrijving","2000-01-01",,"Aantekening Tenaamstelling"
"15","Beheer","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"16","Bewind vererving","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"17","Bezit","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"18","Curatele vererving","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"19","Doorhaling koop of voorovereenkomst tot koop","2000-01-01","2018-09-01","Aantekening Tenaamstelling"
"20","Erfpachtcanon (mogelijk berekend)","2000-01-01","2018-09-01","Aantekening Tenaamstelling"
"21","Einddatum recht","2000-01-01",,"Aantekening Tenaamstelling"
"22","Fideï commis/tweetrapsmaking","2000-01-01",,"Aantekening Tenaamstelling"
"23","Fiduciaire eigendomsoverdracht","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"24","Fideï commis de residuo","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"25","Geen volledige afstand gedaan","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"26","Koop of voorovereenkomst tot koop zie Wet voork recht gemten","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"27","Legaat onder last","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"28","Lijst van rechthebbenden","2000-01-01","2018-09-01","Aantekening Tenaamstelling"
"29","Noemen lastgever voorbehouden","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"30","Overgedragen aan NNP in oprichting","2000-01-01",,"Aantekening Tenaamstelling"
"31","Onbetaalde kooppenningen","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"32","Optie-overeenkomst, art. 10 Wet voorkeursrecht gemeenten","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"33","Ontbindende voorwaarde","2000-01-01",,"Aantekening Tenaamstelling"
"34","Omschrijving zakelijk recht","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"35","Post aan","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
"36","Privatieve last (economische overdracht)","2000-01-01","2010-08-01","Aantekening Tenaamstelling"
