"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Eigendom","2011-01-01",,
"2","Erfpacht","2011-01-01",,
"3","Opstal","2011-01-01",,
"4","Vruchtgebruik","2011-01-01",,
"5","Overig","2011-01-01","2018-09-01",
"6","Eigendom belast met erfpacht","2017-11-01",,
"7","Eigendom belast met opstal","2017-11-01",,
"8","Eigendom belast met opstal nutsvoorzieningen","2017-11-01",,
"9","Eigendom belast met bp-recht","2017-11-01","2019-01-01",
"10","Raadpleeg brondocument","2017-11-01",,
"11","Erfpacht en opstal","2019-04-07",,
"12","Eigendom belast met vruchtgebruik","2019-04-07",,
"13","Eigendom belast met erfpacht en opstal","2019-04-07",,
