"Code","Waarde","DatumVanaf","DatumTot"
"ALKM","Alkmaar",,"2006-06-12"
"ALM","Almelo",,"2006-06-12"
"AMERSF","Amersfoort",,"2006-06-12"
"A","Amsterdam","1989-01-01","2006-06-12"
"AMST","Amsterdam",,"2006-06-12"
"APPING","Appingedam",,"2006-06-12"
"ARNH","Arnhem",,"2006-06-12"
"N","Arnhem",,"2006-06-12"
"ASSEN","Assen",,"2006-06-12"
"BREDA","Breda",,"2006-06-12"
"B","Breda",,"2006-06-12"
"BRIELLE ","Brielle",,"2006-06-12"
"DEV","Deventer",,"2006-06-12"
"DORD","Dordrecht",,"2006-06-12"
"EINDH","Eindhoven",,"2006-06-12"
"GOES","Goes",,"2006-06-12"
"GOR","Gorinchem",,"2006-06-12"
"G","Groningen","1989-01-01","2006-06-12"
"GRON","Groningen",,"2006-06-12"
"HAARL","Haarlem",,"2006-06-12"
"HEERENV","Heerenveen",,"2006-06-12"
"HOORN","Hoorn",,"2006-06-12"
"LEEUW","Leeuwarden",,"2006-06-12"
"LEID","Leiden",,"2006-06-12"
"MAASTR","Maastricht",,"2006-06-12"
"MIDD","Middelburg",,"2006-06-12"
"NIJM","Nijmegen",,"2006-06-12"
"RIJSW","Rijswijk",,"2006-06-12"
"E","Roermond",,"2006-06-12"
"ROERM","Roermond",,"2006-06-12"
"R","Rotterdam","1989-01-01","2006-06-12"
"ROTT","Rotterdam",,"2006-06-12"
"'s-HAGE","'s-Gravenhage",,"2006-06-12"
"'s-BOSCH","'s-Hertogenbosch",,"2006-06-12"
"SNEEK","Sneek",,"2006-06-12"
"TIEL","Tiel",,"2006-06-12"
"UTR","Utrecht",,"2006-06-12"
"WINSCH","Winschoten",,"2006-06-12"
"ZZEE","Zierikzee",,"2006-06-12"
"ZUTP","Zutphen",,"2006-06-12"
"Z","Zwolle",,"2006-06-12"
"ZWOLLE","Zwolle",,"2006-06-12"
