"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Buitenlands rechtspersoon","2000-01-01","2014-05-23","naar 28"
"2","Besloten vennootschap","2000-01-01",,
"3","Coöperatieve vereniging","2000-01-01","2014-05-23","naar 19"
"4","Commanditaire vennootschap","2000-01-01",,
"5","De Staat","2000-01-01","2014-05-23","naar 10"
"6","Rechtspersoon in oprichting","2000-01-01",,
"7","Kerkgenootschap","2000-01-01","2014-05-23","naar 20"
"8","Naamloze vennootschap","2000-01-01",,
"9","Raadpleeg (ingeschreven) stuk","2000-01-01",,"Dit is overige rechtsvormen"
"10","Publiekrechtelijke rechtspersoon","2000-01-01",,
"11","Stichting","2000-01-01",,
"12","Vereniging","2000-01-01",,
"13","Vereniging van eigenaren","2000-01-01","2014-05-23","naar 21"
"14","Vennootschap onder firma ","2000-01-01",,
"15","Mandeligheid","2000-01-01","2014-05-23","naar 27"
"16","Stuk, instantie of project","2000-01-01","2018-09-01",
"17","Maatschap","2000-01-01",,
"18","Rederij","2000-01-01",,
"19","Coöperatie","2014-05-23",,
"20","Kerkelijke organisatie","2014-05-23",,
"21","Vereniging van eigenaars","2014-05-23",,
"22","Europese coöperatieve vennootschap","2014-05-23",,
"23","Europees economisch samenwerkingsverband","2014-05-23",,
"24","Europese naamloze vennootschap","2014-05-23",,
"25","Onderlinge waarborgmaatschappij","2014-05-23",,
"26","Besloten Vennootschap met beperkte aansprakelijkheid","2014-05-23","2014-05-23","blijft 2"
"27","Betreft mandeligheid","2014-05-23","2018-09-01",
"28","Rechtspersoon naar buitenlands recht","2014-05-23",,
"29","Aanbieder","2000-01-01","2018-09-01",
"30","Ambachtsheerlijkheid","2000-01-01","2005-05-18","naar 9"
"31","Beklemgroep","2000-01-01","2018-09-01",
"32","Fundatie","2000-01-01","2005-05-18","naar 9"
"33","Beschikkingsbevoegdheid","2000-01-01","2018-09-01",
"34","Instelling van weldadigheid","2000-01-01","2005-05-18","naar 9"
"35","Pensioen- en spaarfonds","2000-01-01",,
"36","Samenwerkingsverband","2000-01-01","2005-05-18","naar 9"
"37","Gorzen en aanwassen","2018-07-15",,
