"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Betrokken administratieve kadastrale grens is niet vermeld","2014-04-17",,
"2","Adres privaatrechtelijke rechtspersoon ontbreekt/onvolledig","2012-07-19",,
"3","Adres publiekrechtelijke rechtspersoon ontbreekt/onvolledig","2012-07-19",,
"4","Ontbreekt een beperkt recht in de akte","1998-01-01",,
"5","Burgerlijke staat van persoon ontbreekt of niet volledig","2011-05-12",,
"6","Gebruikt digitaal certificaat staat op de CRL","2014-11-27",,
"7","Digitale handtekening wijkt af van die onder equivalentie","2010-11-17",,
"8","Gegevens hypotheekhouder bij doorhaling niet juist/compleet","2011-05-12",,
"9","Eensluidendheid is niet ondertekend","2010-03-22",,
"10","Verkeerde perceel overgedragen/niet beschikkingsbevoegd","2018-10-13",,
"11","Verkeerde perceel overgedragen/wel beschikkingsbevoegd","2018-10-13",,
"12","Bij vestiging erfdienstbaarheid ontbreekt de kad. aanduiding","2014-01-14",,
"13","Fout in de kadastrale aanduiding","2011-05-12",,
"14","De koopsom ontbreekt in de koopovereenkomst","2012-09-27",,
"15","Het Kvk-nr in de akte wijkt af van het Kvk-nr in het NHR","2017-09-01",,
"16","Statutaire naam in de akte wijkt af van de naam in het NHR","2017-09-01",,
"17","Statutaire zetel in de akte wijkt af van de zetel in het NHR","2017-09-01",,
"18","Rechtsvorm in de akte wijkt af van de rechtsvorm in het NHR","2017-09-01",,
"19","Nadere omschrijving is onjuist of onvolledig","2018-10-13",,
"20","Perceel te veel overgedragen","2018-10-13",,
"21","Perceel te weinig overgedragen","2018-10-13",,
"22","Fout in naam, zetel of vestigingsadres Rabobank","2016-03-04",,
"23","Situatieschets tbv vorming administratieve grens onduidelijk","2015-01-01",,
"24","Betrokken voorlopige kadastrale grens is niet vermeld","2012-01-05",,
"25","Verkeerde of onvolledige verwijzing eerder ingeschreven stuk","2012-07-19",,
"26","De datum van verlijden is een toekomstige datum","2011-05-12",,
"27","Alleen voorletters in voetverklaring","2011-05-12",,
"28","Voorlopige grens en grootte wijkt te veel af van aanwijs","2018-10-13",,
"29","Woonplaats en/of adres ontbreekt of is onvolledig","2012-07-19",,
"30","Erflater in verkl. van erfrecht en/of partner niets op naam","2018-12-27",,
"31","Andere reden","2018-10-13",,
"32","Door te halen stuk is al doorgehaald","2019-01-01",,
