"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"AHM","Arnhem","1980-01-01","2006-06-12",
"AMF","Amersfoort","1799-01-01","1964-11-14",
"AML","Almelo","1799-01-01","1975-02-24",
"AMR","Alkmaar","1980-01-01","2006-06-12",
"APG","Appingedam","1799-01-01","1946-05-01",
"ASD","Amsterdam","1980-01-01","2006-06-12",
"ASN","Assen","1980-01-01","2006-06-12",
"BDA","Breda","1980-01-01","2006-06-12",
"BLE","Brielle","1799-01-01","1957-10-01",
"DDT","Dordrecht","1799-01-01","1975-09-01",
"DVT","Deventer","1799-01-01","1959-05-01",
"EHV","Eindhoven","1980-01-01","2006-06-12",
"EML","Emmeloord NOP","1799-01-01","1977-05-01",
"ENS","Ens NOP","1799-01-01","1977-05-01",
"EPL","Espel NOP","1799-01-01","1977-05-01",
"GNG","Groningen","1980-01-01","2006-06-12",
"GOE","Goes","1799-01-01","1960-11-01",
"GRC","Gorinchem","1799-01-01","1960-08-01",
"GVH","'s-Gravenhage","1799-01-01","1971-01-01",
"HLM","Haarlem","1799-01-01","1976-03-01",
"HOO","Hoorn","1799-01-01","1960-05-01",
"HRV","Heerenveen","1799-01-01","1959-11-01",
"HTG","'s-Hertogenbosch","1799-01-01","1976-01-01",
"LDN","Leiden","1799-01-01","1980-06-02",
"LLS","Lelystad","1980-01-01","2006-06-12",
"LTG","Luttelgeest NOP","1799-01-01","1977-05-01",
"LWD","Leeuwarden","1980-01-01","2006-06-12",
"MDB","Middelburg","1980-01-01","2006-06-12",
"MNS","Marknesse NOP","1799-01-01","1977-05-01",
"MTT","Maastricht","1799-01-01","1976-03-29",
"NGL","Nagele NOP","1799-01-01","1977-05-01",
"NMG","Nijmegen","1799-01-01","1976-05-08",
"OFV","Oostelijk Flevoland","1799-01-01","1980-01-01",
"RMD","Roermond","1980-01-01","2006-06-12",
"RTD","Rotterdam","1980-01-01","2006-06-12",
"RTN","Rutten NOP","1799-01-01","1977-05-01",
"RWK","Rijswijk","1799-01-01","1980-01-01",
"SNE","Sneek","1799-01-01","1959-11-01",
"TIE","Tiel","1799-01-01","1961-01-01",
"UTT","Utrecht","1980-01-01","2006-06-12",
"WST","Winschoten","1799-01-01","1964-05-01",
"ZFV","Zuidelijk Flevoland","1799-01-01","1980-01-01",
"ZLE","Zwolle","1980-01-01","2006-06-12",
"ZPN","Zutphen","1799-01-01","1976-05-06",
"ZRZ","Zierikzee","1799-01-01","1966-09-01",
"ZTM","Zoetermeer","1980-01-01","2006-06-12",
