"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Bewijs van ontvangst verzoek tot inschrijving","2020-09-01",,"BVOI"
"2","Bewijs van inschrijving","2020-09-01",,"BVI"
"3","Attendering op niet inschrijving","2020-09-01",,"ANI"
"4","Bericht van weigering","2020-09-01",,"BVW"
"5","Bericht van intrekking","2020-09-01",,"BVIN"
"6","Afwijzing verzoek tot intrekking","2020-09-01",,"AVTIN"
"7","Bericht van afkeuring","2020-09-01",,"BVA"
"8","Administratieve grens bericht","2020-09-01",,"AGB"
"9","Verzoek tot verbetering","2020-09-01",,"VTV"
"10","Bericht van intrekking VTV","2020-09-01",,"BINV"
"11","Bewijs van ontvangst verzoek tot indepotname","2020-09-01",,"BVOD"
"12","Bewijs van indepotname","2020-09-01",,"BVD"
