"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Appartementsrechtsplitsing (hoofdsplitsing of ondersplitsing)","2020-12-01",,
"2","Appartementsrechtsplitsing (spiegelsplitsing)","2020-12-01",,
"3","Appartementsrechtsplitsing opheffing","2020-12-01",,
"4","Appartementsrechtsplitsing wijziging met tekening","2020-12-01",,
"5","Appartementsrechtsplitsing wijziging zonder tekening","2020-12-01",,
"6","Beslag","2020-12-01",,
"7","Beslag (doorhaling)","2020-12-01",,
"8","Beslag (wijziging)","2020-12-01",,
"9","Cessie","2020-12-01",,
"10","Hypotheek (doorhaling)","2020-12-01",,
"11","Hypotheek (vestiging)","2020-12-01",,
"12","Hypotheek (wijziging)","2020-12-01",,
"13","Rangwisseling","2020-12-01",,
"14","Bewind","2020-12-01",,
"15","Faillietverklaring","2020-12-01",,
"16","Huwelijk of geregistreerd partnerschap","2020-12-01",,
"17","Fusie","2020-12-01",,
"18","Naamswijziging","2020-12-01",,
"19","Omzetting rechtspersoon","2020-12-01",,
"20","Splitsen rechtspersoon","2020-12-01",,
"21","Inbreng in of ontbinding van personenvennootschap","2020-12-01",,
"22","Koopovereenkomst (beëindiging)","2020-12-01",,
"23","Koopovereenkomst (inschrijving)","2020-12-01",,
"24","Aanvullende akte","2020-12-01",,
"25","Algemene voorwaarden","2020-12-01",,
"26","Reglement mede-eigenaren","2020-12-01",,
"27","Burenrecht","2020-12-01",,
"28","Erfdienstbaarheid","2020-12-01",,
"29","Kwalitatieve verplichting","2020-12-01",,
"30","Overheidsbesluit","2020-12-01",,
"31","Privatieve last","2020-12-01",,
"32","Retentierecht","2020-12-01",,
"33","Vaststellingsovereenkomst","2020-12-01",,
"34","Beperkt recht (beëindiging)","2020-12-01",,
"35","Beperkt recht (vestiging)","2020-12-01",,
"36","Beperkt recht (wijziging)","2020-12-01",,
"37","Vererving","2020-12-01",,
"38","Afgifte legaat","2020-12-01",,
"39","Verdeling (erfgenamen)","2020-12-01",,
"40","Verdeling (gezamenlijk rechthebbenden)","2020-12-01",,
"41","Verdeling (huwelijk / geregistreerd partnerschap)","2020-12-01",,
"42","Bewaardersverklaring","2020-12-01",,
"43","Dwaling omtrent grensaanwijs","2020-12-01",,
"44","Herverkaveling","2020-12-01",,
"45","Instelling rechtsvordering / rechtsmiddel","2020-12-01",,
"46","Mandeligheid","2020-12-01",,
"47","Netwerken","2020-12-01",,
"48","Onteigening","2020-12-01",,
"49","Overdracht","2020-12-01",,
"50","Rechterlijke uitspraak","2020-12-01",,
"51","Verjaring","2020-12-01",,
"52","Vervulling/vervallen voorwaarde","2020-12-01",,
"53","Vernietiging","2020-12-01",,
"54","Waardeloosheid (verklaring van)","2020-12-01",,
