"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1000","Hoogerheide","2010-04-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1000"
"1001","Huijbergen","2010-04-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1001"
"1002","Ossendrecht","2010-04-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1002"
"1003","Putte","2010-04-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1003"
"1004","Woensdrecht","2010-04-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1004"
"1005","Gouda","2006-12-10",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1005"
"1006","Waalre","2006-11-14",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1006"
"1007","Middelburg","2006-04-24",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1007"
"1008","Arnemuiden","2006-04-24",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1008"
"1009","Nieuw- en Sint Joosland","2006-04-24",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1009"
"1010","Etten-Leur","2007-01-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1010"
"1011","Huizen","2008-09-18",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1011"
"1013","Soest","2007-01-16",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1013"
"1014","Soesterberg","2007-01-16",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1014"
"1015","Vlaardingen","2007-01-30",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1015"
"1016","Nieuwerkerk aan den IJssel","2007-03-27",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1016"
"1017","Foxhol","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1017"
"1018","Hoogezand","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1018"
"1019","Kiel-Windeweer","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1019"
"1020","Kropswolde","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1020"
"1021","Sappemeer","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1021"
"1022","Waterhuizen","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1022"
"1023","Westerbroek","2010-07-08",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1023"
"1026","America","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1026"
"1027","Broekhuizen","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1027"
"1028","Broekhuizenvorst","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1028"
"1029","Griendtsveen","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1029"
"1030","Grubbenvorst","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1030"
"1031","Hegelsom","2010-11-23",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1031"
"1032","Horst","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1032"
"1033","Lottum","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1033"
"1034","Melderslo","2007-02-06",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1034"
"1035","Meterik","2010-11-23",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1035"
"1036","Hilversum","2007-04-11",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1036"
"1037","Eemnes","2007-04-10",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1037"
"1038","Daarle","2007-06-19",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1038"
"1039","Daarlerveen","2007-06-19",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1039"
"1040","Haarle","2007-06-19",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1040"
"1043","Tilburg","2015-11-11",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1043"
"1044","Berkel-Enschot","2015-11-11",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1044"
"1045","Udenhout","2015-11-11",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1045"
"1046","Staphorst","2005-06-14",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1046"
"1047","Rouveen","2005-06-14",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1047"
"1048","IJhorst","2005-06-14",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1048"
"1049","Punthorst","2005-06-14",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1049"
"1050","Amstelveen","2007-05-30",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1050"
"1051","Lelystad","2006-12-19",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1051"
"1052","Naarden","2007-01-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1052"
"1053","Andijk","2007-06-12",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1053"
"1056","Kootwijkerbroek","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1056"
"1057","Garderen","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1057"
"1059","Stroe","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1059"
"1061","De Glind","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1061"
"1062","Kootwijk","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1062"
"1063","Achterveld","2007-04-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1063"
"1064","Bladel","2007-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1064"
"1065","Hapert","2007-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1065"
"1066","Hoogeloon","2007-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1066"
"1067","Casteren","2007-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1067"
"1068","Netersel","2007-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1068"
"1069","Maassluis","2007-05-22",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1069"
"1070","Groningen","2016-12-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1070"
"1071","Woerden","2014-09-03",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1071"
"1072","Harmelen","2014-09-03",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1072"
"1073","Kamerik","2014-09-03",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1073"
"1074","Zegveld","2014-09-03",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1074"
"1075","Zeewolde","2007-03-28",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1075"
"1076","Oost-Souburg","2009-01-01",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1076"
"1077","Ritthem","2016-03-29",,"http://bag.basisregistraties.overheid.nl/bag/id/woonplaats/1077"
