"CBSCode","BGMNaam","KadGemNaam","Sectie","DatumVanaf","DatumTot","Toelichting"
"14","Groningen","ten Boer","A",,,
"14","Groningen","ten Boer","B",,,
"14","Groningen","ten Boer","C",,,
"14","Groningen","ten Boer","D",,,
"14","Groningen","ten Boer","E",,,
"14","Groningen","ten Boer","I",,,
"14","Groningen","ten Boer","K",,,
"14","Groningen","ten Boer","L",,,
"14","Groningen","Groningen","A",,,
"14","Groningen","Groningen","B",,,
"14","Groningen","Groningen","C",,,
"14","Groningen","Groningen","D",,,
"14","Groningen","Groningen","E",,,
"14","Groningen","Groningen","F",,,
"14","Groningen","Groningen","G",,,
"14","Groningen","Groningen","H",,,
"14","Groningen","Groningen","I",,,
"14","Groningen","Groningen","K",,,
"14","Groningen","Groningen","L",,,
"14","Groningen","Groningen","P",,,
"14","Groningen","Groningen","R",,,
"14","Groningen","Groningen","AA",,,
"14","Groningen","Groningen","AB",,,
"14","Groningen","Groningen","AC",,,
"14","Groningen","Groningen","AD",,,
"14","Groningen","Groningen","AE",,,
"14","Groningen","Hoogkerk","A",,,
"14","Groningen","Hoogkerk","B",,,
"14","Groningen","Hoogkerk","C",,,
"14","Groningen","Hoogkerk","D",,,
"14","Groningen","Hoogkerk","E",,,
"14","Groningen","Helpman","M",,,
"14","Groningen","Helpman","N",,,
"14","Groningen","Helpman","O",,,
"14","Groningen","Haren","C",,,
"14","Groningen","Haren","D",,,
"14","Groningen","Haren","E",,,
"14","Groningen","Haren","F",,,
"14","Groningen","Haren","G",,,
"14","Groningen","Haren","H",,,
"14","Groningen","Haren","I",,,
"14","Groningen","Haren","K",,,
"14","Groningen","Haren","L",,,
"14","Groningen","Haren","M",,,
"14","Groningen","Haren","N",,,
"14","Groningen","Haren","O",,,
"14","Groningen","Haren","P",,,
"14","Groningen","Noorddijk","A",,,
"14","Groningen","Noorddijk","B",,,
"14","Groningen","Noorddijk","D",,,
"14","Groningen","Noorddijk","F",,,
"14","Groningen","Noorddijk","G",,,
"34","Almere","Almere","A",,,
"34","Almere","Almere","B",,,
"34","Almere","Almere","C",,,
"34","Almere","Almere","D",,,
"34","Almere","Almere","E",,,
"34","Almere","Almere","F",,,
"34","Almere","Almere","G",,,
"34","Almere","Almere","H",,,
"34","Almere","Almere","K",,,
"34","Almere","Almere","M",,,
"34","Almere","Almere","N",,,
"34","Almere","Almere","O",,,
"34","Almere","Almere","P",,,
"34","Almere","Almere","Q",,,
"34","Almere","Almere","R",,,
"34","Almere","Almere","S",,,
"34","Almere","Almere","U",,,
"34","Almere","Almere","W",,,
"37","Stadskanaal","Onstwedde","B",,,
"37","Stadskanaal","Onstwedde","C",,,
"37","Stadskanaal","Onstwedde","D",,,
"37","Stadskanaal","Onstwedde","E",,,
"37","Stadskanaal","Onstwedde","L",,,
"37","Stadskanaal","Onstwedde","M",,,
"37","Stadskanaal","Onstwedde","N",,,
"37","Stadskanaal","Onstwedde","O",,,
"37","Stadskanaal","Onstwedde","P",,,
"37","Stadskanaal","Onstwedde","R",,,
"37","Stadskanaal","Onstwedde","S",,,
"37","Stadskanaal","Onstwedde","T",,,
"37","Stadskanaal","Onstwedde","U",,,
"37","Stadskanaal","Onstwedde","V",,,
"37","Stadskanaal","Onstwedde","W",,,
"37","Stadskanaal","Wildervank","D",,,
"37","Stadskanaal","Wildervank","E",,,
"47","Veendam","Veendam","A",,,
"47","Veendam","Veendam","B",,,
"47","Veendam","Veendam","C",,,
"47","Veendam","Veendam","D",,,
"47","Veendam","Veendam","F",,,
"47","Veendam","Veendam","G",,,
"47","Veendam","Veendam","H",,,
"47","Veendam","Veendam","I",,,
"47","Veendam","Veendam","L",,,
"47","Veendam","Veendam","M",,,
"47","Veendam","Veendam","N",,,
"47","Veendam","Veendam","O",,,
"47","Veendam","Veendam","P",,,
"47","Veendam","Veendam","R",,,
"47","Veendam","Wildervank","A",,,
"47","Veendam","Wildervank","B",,,
"47","Veendam","Wildervank","C",,,
"47","Veendam","Wildervank","F",,,
"47","Veendam","Wildervank","G",,,
"47","Veendam","Wildervank","H",,,
"47","Veendam","Wildervank","I",,,
"47","Veendam","Wildervank","K",,,
"47","Veendam","Wildervank","L",,,
"47","Veendam","Wildervank","M",,,
"47","Veendam","Wildervank","N",,,
"50","Zeewolde","Zeewolde","A",,,
"50","Zeewolde","Zeewolde","B",,,
"50","Zeewolde","Zeewolde","D",,,
"50","Zeewolde","Zeewolde","E",,,
"50","Zeewolde","Zeewolde","F",,,
"50","Zeewolde","Zeewolde","L",,,
"50","Zeewolde","Zeewolde","R",,,
"59","Achtkarspelen","Buitenpost","A",,,
"59","Achtkarspelen","Buitenpost","B",,,
"59","Achtkarspelen","Buitenpost","C",,,
"59","Achtkarspelen","Buitenpost","D",,,
"59","Achtkarspelen","Buitenpost","E",,,
"59","Achtkarspelen","Drogeham","A",,,
"59","Achtkarspelen","Drogeham","B",,,
"59","Achtkarspelen","Drogeham","C",,,
"59","Achtkarspelen","Drogeham","D",,,
"59","Achtkarspelen","Drogeham","E",,,
"59","Achtkarspelen","Drogeham","F",,,
"59","Achtkarspelen","Drogeham","G",,,
"59","Achtkarspelen","Drogeham","H",,,
"59","Achtkarspelen","Drogeham","I",,,
