"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Niet verplichte teboekstelling","2011-01-01",,
"2","Gesloopt","2011-01-01",,
"3","Vergaan","2011-01-01",,
"4","Ongeschikt voor drijven","2011-01-01",,
"5","Verkoop buitenland","2011-01-01",,
"6","Thans zeeschip","2011-01-01",,
"7","Thans binnenschip","2011-01-01",,
"8","Thans zeevisserijschip","2011-01-01",,
"9","Niet meer ingeschreven in visserijregister","2011-01-01",,
"10","Dubbele teboekstelling","2011-01-01",,
"11","Ambtshalve doorhaling","2011-01-01",,
"12","Abusievelijke teboekstelling","2011-01-01",,
"13","Artikel 786, 1e lid, sub a, 2, Boek 8 BW","2011-01-01",,
"14","Artikel 786, 1e lid, sub b, 5, Boek 8 BW","2011-01-01",,
"15","Wordt teboekgesteld in niet-verdrag Staat","2011-01-01",,
"16","Door rovers of vijanden genomen","2011-01-01",,
"17","6 maanden niets van het schip vernomen","2011-01-01",,
