"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Vastgesteld","2011-01-01",,"Landmeter heeft de grootte vastgesteld"
"2","Niet vastgesteld","2011-01-01","2017-07-01","Bepaald op basis van de voorlopigegrens"
"3","Geschat","2011-01-01","2017-07-01","Grens is bepalend, na meting vast te stellen."
"4","Niet geschat","2011-01-01","2017-07-01","Bij inmeten moet het perceel de opgegeven grootte krijgen"
"5","Voorlopig","2017-01-01",,"Een perceel, waarvan minstens 1 grens voorlopig is; de andere grenzen kunnen vastgesteld of administratief zijn. Bij geen van de voorlopige en eventuele administratieve grenzen is sprake van partijen oneens of aanwijs niet conform akte."
"6","Administratief","2017-01-01",,"Een perceel, waarvan minstens 1 grens administratief is en waarvan alle andere grenzen vastgesteld zijn. Bij geen van de administratieve grenzen is sprake van partijen oneens of aanwijs niet conform akte. "
"7","Voorlopig, partijen oneens (grensvaststelling opgeschort)","2017-01-01",,"Een perceel, waarvan minstens 1 grens voorlopig is; de andere grenzen kunnen vastgesteld of administratief zijn. Voor minstens één voorlopige of minstens één eventuele administratieve grens geldt partijen oneens (grensvaststelling opgeschort)."
"8","Administratief, partijen oneens (grensvaststelling opgeschort)","2017-01-01",,"Een perceel, waarvan minstens 1 grens administratief is en waarvan alle andere grenzen vastgesteld zijn. Voor minstens één administratieve grens geldt partijen oneens (grensvaststelling opgeschort)."
"9","Voorlopig, aanwijs niet conform akte (bijhouding opgeschort)","2017-01-01",,"Een perceel, waarvan minstens 1 grens voorlopig is; de andere grenzen kunnen vastgesteld of administratief zijn. Voor minstens één voorlopige of minstens één eventuele administratieve grens geldt aanwijs niet conform akte (bijhouding opgeschort)."
"10","Administratief, aanwijs niet conform akte (bijhouding opgeschort)","2017-01-01",,"Een perceel, waarvan minstens 1 grens administratief is en waarvan alle andere grenzen vastgesteld zijn. Voor minstens één administratieve grens geldt aanwijs niet conform akte (bijhouding opgeschort)."
"11","Voorlopig, partijen oneens en aanwijs niet conform akte (betreft verschillende grenzen)","2017-01-01",,"Een perceel, waarvan minstens 1 grens voorlopig is; de andere grenzen kunnen vastgesteld of administratief zijn. Voor minstens één voorlopige of minstens één eventuele administratieve grens geldt partijen oneens (grensvaststelling opgeschort) en voor minstens één andere voorlopige of minstens één andere eventuele administratieve grens geldt aanwijs niet conform akte (bijhouding opgeschort)."
"12","Administratief, partijen oneens en aanwijs niet conform akte (betreft verschillende grenzen)","2017-01-01",,"Een perceel, waarvan minstens 1 grens administratief is en waarvan alle andere grenzen vastgesteld zijn. Voor minstens één administratieve grens geldt partijen oneens (grensvaststelling opgeschort) en voor minstens één andere eventuele administratieve grens geldt aanwijs niet conform akte (bijhouding opgeschort)."
"13","Vastgesteld, aanwijs niet conform akte","2018-01-01","2018-09-01","Een perceel, waarbij alle grenzen vastgesteld zijn. Vanuit een aangrenzend perceel geldt voor minstens één vastgestelde grens aanwijs niet conform akte (bijhouding opgeschort)."
