"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Overgegaan in appartementsrechten/-objecten","2011-01-01","2011-01-01",
"2","Vernummering wijziging bewaringsgrenzen","2011-01-01","2018-09-01",
"3","Overgegaan in complex","2011-01-01","2011-01-01",
"4","Overgegaan in deelpercelen","2011-01-01","2018-09-01",
"5","Beklemming","2011-01-01","2011-01-01",
"6","Overgegaan in fysiek complex","2011-01-01","2011-01-01",
"7","Opgeheven appartementsrecht/complex","2011-01-01","2011-01-01",
"8","Herstel van fouten","2011-01-01","2018-09-01",
"9","Kavelruil","2011-01-01","2011-01-01","Kavelruil is geen goede waarde, kavelruil is gewoon koop verkoop"
"10","Herleving moederperceel","2011-01-01","2018-09-01",
"11","Restdeelperceel nul","2011-01-01","2018-09-01",
"12","Vernummering uit ongenummerd","2011-01-01",,
"13","Ruilverkaveling","2011-01-01",,
"14","Vernummering","2011-01-01","2018-09-01",
"15","Fusie","2018-07-15",,"Tenaamstelling"
"16","Splitsen rechtspersoon","2018-07-15",,"Tenaamstelling"
"17","Verklaring van erfrecht","2018-07-15",,"Tenaamstelling"
"18","Verdeling van gemeenschap (erfgenamen)","2018-07-15",,"Tenaamstelling"
"19","Verenigen percelen","2018-07-15",,"Object en tenaamstelling"
"20","Splitsen perceel","2018-07-15",,"Object en tenaamstelling"
"21","Vermenging rechten","2018-07-15",,"Tenaamstelling"
"22","Vermenging tenaamstellingen","2018-07-15",,"Tenaamstelling"
"23","Verdeling van gemeenschap (gezamenlijk rechthebbenden)","2018-07-15",,"Tenaamstelling"
"24","Verdeling van gemeenschap (huwelijk / geregistreerd partnerschap)","2018-07-15",,"Tenaamstelling"
"25","Splitsing in appartementsrechten","2018-07-15",,"Tenaamstelling"
"26","Ondersplitsing in appartementsrechten","2018-07-15",,"Tenaamstelling"
"27","Wijziging splitsing m.b.t. appartementindices","2018-07-15",,"Object en tenaamstelling"
"28","Wijziging ondersplitsing m.b.t. appartementindices","2018-07-15",,"Object en tenaamstelling"
"29","Opheffing splitsing in appartementsrechten","2018-07-15",,"Tenaamstelling"
"30","Opheffing ondersplitsing in appartementsrechten","2018-07-15",,"Tenaamstelling"
"31","Spiegelsplitsing t.b.v. afkoop erfpacht","2018-07-15",,"Tenaamstelling"
"32","Inschrijving gemeenschap van goederen","2018-07-15",,"Tenaamstelling"
"33","Registratie eigendom netwerk (wijziging)","2018-10-15",,"Object en tenaamstelling"
"34","Gemeentelijke herindeling","2019-01-01",,"Object en tenaamstelling"
"35","Overgang i.v.m. gemeentelijke herindeling","2019-01-01",,"Tenaamstelling"
