"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"0","Initieel","2011-01-01","2012-03-21",
"11","Wonen","2011-01-01",,
"12","Wonen (appartement)","2011-01-01",,
"14","Wonen (agrarisch)","2011-01-01",,
"18","Berging - Stalling (garage-schuur)","2011-01-01",,
"21","Bedrijvigheid (kantoor)","2011-01-01",,
"22","Bedrijvigheid (industrie)","2011-01-01",,
"23","Bedrijvigheid (nutsvoorziening)","2011-01-01",,
"27","Bedrijvigheid (detailhandel)","2011-01-01",,
"28","Bedrijvigheid (horeca)","2011-01-01",,
"29","Bedrijvigheid (agrarisch)","2011-01-01",,
"34","Parkeren","2011-01-01",,
"35","Defensie","2011-01-01",,
"37","Wonen met bedrijvigheid","2011-01-01",,
"44","Openbaar vervoer","2011-01-01",,
"46","Luchtverkeer","2011-01-01",,
"51","Recreatie - Sport","2011-01-01",,
"53","Wonen (recreatie)","2011-01-01",,
"64","Bedrijvigheid (kas)","2011-01-01",,
"72","Gezondheid","2011-01-01",,
"74","Onderwijs","2011-01-01",,
"76","Cultuur","2011-01-01",,
"77","Godsdienst","2011-01-01",,
"78","Politie - Brandweer","2011-01-01",,
"79","Justitie","2011-01-01",,
"87","Bouwwerken - Waterwerken","2011-01-01",,
"94","Uitvaart","2011-01-01",,
"99","Bijzondere objecten","2011-01-01",,
"100","Perceel bebouwd - gebruik onbekend","2018-09-01",,
