"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"GG","Besluit monument, Gemeentewet","1900-01-01","2020-01-01","Gemeentewet: (artikel 149) besluit krachtens gemeentelijke verordening tot aanwijzing van een onroerende zaak als beschermd monument, voor zover geen beperkingenbesluit als bedoeld in artikel 1, onderdeel b, onder 6°, van de wet is dan wel moet worden genomen"
"GWA","Gemeentewet: Aanwijzing gemeentelijk monument (voorbescherming, aanwijzing, afschrift)","2020-01-01","2023-07-01","Gemeentewet: (artikel 149) besluit krachtens gemeentelijke verordening tot aanwijzing van een onroerende zaak als beschermd monument, voor zover geen beperkingenbesluit als bedoeld in artikel 1, onderdeel b, onder 6°, van de wet is dan wel moet worden genomen"
"GS","Sluiting van woning, lokaal of bijbehorend erf, Gemeentewet","1900-01-01","2020-01-01","Gemeentewet: (artikel 174a) besluit van de burgemeester tot het sluiten van een woning, een niet voor het publiek toegankelijk lokaal of een bij die woning of dat lokaal behorend erf"
"GWB","Gemeentewet: Sluiting woning, lokaal of erf","2020-01-01",,"Gemeentewet: (artikel 174a) besluit van de burgemeester tot het sluiten van een woning, een niet voor het publiek toegankelijk lokaal of een bij die woning of dat lokaal behorend erf"
"GB","Besluit tot heffen van baatbelasting, Gemeentewet","1995-01-01","2020-01-01","Gemeentewet: (artikel 222, zoals dit artikel vanaf 1 januari 1995 luidt) gemeentelijk bekostigingsbesluit strekkend tot het heffen van een gemeentelijke baatbelasting krachtens verordening"
"GWC","Gemeentewet: Bekostigingsbesluit baatbelasting","2020-01-01",,"Gemeentewet: (artikel 222, zoals dit artikel vanaf 1 januari 1995 luidt) gemeentelijk bekostigingsbesluit strekkend tot het heffen van een gemeentelijke baatbelasting krachtens verordening"
"GWD","Gemeentewet: Verordening baatbelasting","2020-01-01",,"Gemeentewet: (artikel 222, zoals dit artikel vanaf 1 januari 1995 luidt, juncto artikel 216) vaststelling verordening tot het heffen van een gemeentelijke baatbelasting"
"GWE","Gemeentewet: Verordening bouwgrondbelasting","2020-01-01",,"Gemeentewet: (artikel 222, zoals dit artikel tot 1 januari 1995 heeft geluid, juncto artikel 216) vaststelling verordening tot het heffen van een gemeentelijke bouwgrondbelasting"
"GU","Besluit tot heffen van bouwgrondbelasting, Gemeentewet","1900-01-01",,"Gemeentewet: (artikel 222, zoals dit artikel tot 1 januari 1995 heeft geluid) gemeentelijk bekostigingsbesluit strekkend tot het heffen van een gemeentelijke bouwgrondbelasting krachtens verordening"
"MP","Provinciaal monument","1900-01-01","2020-01-01","Provinciaal monument, Provinciewet"
"PVA","Provinciewet: Aanwijzing provinciaal monument (voornemen, aanwijzing, afschrift)","2020-01-01","2023-07-01","Provinciewet: (artikel 145) besluit krachtens provinciale verordening tot aanwijzing van een onroerende zaak als beschermd monument, voor zover geen beperkingenbesluit als bedoeld in artikel 1, onderdeel b, onder 6°, van de wet is dan wel moet worden genomen"
"BL","Besluit op basis van Belemmeringenwet Landsverdediging","1900-01-01","2020-01-01","Belemmeringenwet Landsverdediging: (artikelen 6 en 7) een door of namens de Minister van Defensie of de Minister van Binnenlandse Zaken en Koninkrijksrelaties opgelegde gedoogplicht voor een ieder inzake het duurzaam of tijdelijk gebruik van onroerende zaken voor de aanleg, de instandhouding of het gebruik van een werk ten behoeve van de landsverdediging, met inbegrip van, voor zover van toepassing, het in artikel 7 van de Belemmeringenwet Landsverdediging bedoelde mandaatbesluit"
"BLA","Belemmeringenwet Landsverdediging: Gedoogplicht","2020-01-01","2023-07-01","Belemmeringenwet Landsverdediging: (artikelen 6 en 7) een door of namens de Minister van Defensie of de Minister van Binnenlandse Zaken en Koninkrijksrelaties opgelegde gedoogplicht voor een ieder inzake het duurzaam of tijdelijk gebruik van onroerende zaken voor de aanleg, de instandhouding of het gebruik van een werk ten behoeve van de landsverdediging, met inbegrip van, voor zover van toepassing, het in artikel 7 van de Belemmeringenwet Landsverdediging bedoelde mandaatbesluit"
"WN","Besluit op basis van artikel 2.1 Wet Natuurbescherming","1900-01-01","2020-01-01","Wet natuurbescherming: (artikel 2.1, eerste lid) aanwijzing door de Minister van Economische Zaken en Klimaat van een gebied als Natura 2000-gebied"
"WNA","Wet natuurbescherming: Aanwijzing Natura2000-gebied","2020-01-01","2023-07-01","Wet natuurbescherming: (artikel 2.1, eerste lid) aanwijzing door de Minister van Economische Zaken en Klimaat van een gebied als Natura 2000-gebied"
"WX","Besluit op basis van artikel 2.11 Wet Natuurbescherming","1900-01-01","2020-01-01","Wet natuurbescherming: (artikel 2.11, eerste lid) aanwijzing door de Minister van Economische Zaken en Klimaat van een gebied als bijzonder nationaal natuurgebied"
"WNB","Wet natuurbescherming: Aanwijzing bijzonder nationaal natuurgebied","2020-01-01","2023-07-01","Wet natuurbescherming: (artikel 2.11, eerste lid) aanwijzing door de Minister van Economische Zaken en Klimaat van een gebied als bijzonder nationaal natuurgebied"
"WY","Besluit op basis van artikel 4.2 Wet Natuurbescherming","1900-01-01","2020-01-01","Wet natuurbescherming: (artikel 4.2, derde lid) bij besluit van gedeputeerde staten of de Minister van Economische Zaken en Klimaat (krachtens artikel 1.3, vijfde lid) opgelegd verbod op het vellen van houtopstanden"
