"KadgemCode","KadgemNaam","Code","Waarde","Vervallen","Sectie","Toelichting"
"ABG00","Aalburg","1","Aalburg","nee",,
"AMR03","Aalsmeer","2","Aalsmeer","nee",,
"AAL02","Aalst (Gld)","3","Aalst Gelderland","nee",,
"AAL01","Aalst (N.B.)","4","Aalst Noord-Brabant","nee",,
"ATN02","Aalten","5","Aalten","nee",,
"ADB00","Aardenburg","6","Aardenburg","nee",,
"ALD00","Aarlanderveen","7","Aarlanderveen","nee",,
"ALE00","Aarle-Rixtel","8","Aarle-Rixtel","nee",,
"ABK00","Abbekerk","9","Abbekerk","ja",,
"ABB00","Abbenbroek","10","Abbenbroek","nee",,
"ACD00","Abcoude","11","Abcoude","nee",,
"ASD40","Abstede","12","Abstede","nee",,
"ADP00","Adorp","13","Adorp","nee",,
"ADA00","Aduard","14","Aduard","nee",,
"AER00","Aerdt","15","Aerdt","nee",,
"AFD00","Afferden","16","Afferden","nee",,
"AKS01","Akersloot","17","Akersloot","nee",,
"AKW00","Akkerwoude","18","Akkerwoude","nee",,
"AKM02","Akkrum","19","Akkrum","nee",,
"ABS01","Alblasserdam","20","Alblasserdam","nee",,
"ALM00","Alem","21","Alem","nee",,
"AKM01","Alkemade","22","Alkemade","nee",,
"AMR01","Alkmaar","23","Alkmaar","nee",,
"AMN00","Almen","24","Almen","nee",,
"AMR04","Almere","25","Almere","nee",,
"APN02","Alphen","26","Alphen","nee",,
"APN01","Alphen aan den Rijn","27","Alphen aan den Rijn","nee",,
"APN03","Alphen en Riel","28","Alphen en Riel","nee",,
"AML01","Ambt-Almelo","29","Ambt-Almelo","nee",,
"DDN01","Ambt Delden","30","Ambt-Delden","nee",,
"DTC01","Ambt-Doetinchem","31","Ambt-Doetinchem","nee",,
"HDB01","Ambt-Hardenberg","32","Ambt-Hardenberg","nee",,
"OMN01","Ambt-Ommen","33","Ambt-Ommen","nee",,
"ABY00","Amby","34","Amby","nee",,
"AMD00","Ameide","35","Ameide","nee",,
"AMR02","Amerongen","36","Amerongen","nee",,
"AMF00","Amersfoort","37","Amersfoort","nee",,
"AMS01","Ammerstol","38","Ammerstol","nee",,
"AMZ00","Ammerzoden","39","Ammerzoden","nee",,
"ASV00","Amstelveen","40","Amstelveen","nee",,
"ASR00","Amstenrade","41","Amstenrade","nee",,
"ASD02","Amsterdam A","42","Amsterdam","nee","A",
"ASD03","Amsterdam E","42","Amsterdam","nee","E",
"ASD04","Amsterdam F","42","Amsterdam","nee","F",
"ASD05","Amsterdam G","42","Amsterdam","nee","G",
"ASD06","Amsterdam I","42","Amsterdam","nee","I",
"ASD07","Amsterdam K","42","Amsterdam","nee","K",
"ASD08","Amsterdam L","42","Amsterdam","nee","L",
"ASD09","Amsterdam M","42","Amsterdam","nee","M",
"ASD10","Amsterdam N","42","Amsterdam","nee","N",
"ASD11","Amsterdam O","42","Amsterdam","nee","O",
"ASD12","Amsterdam P","42","Amsterdam","nee","P",
"ASD13","Amsterdam Q","42","Amsterdam","nee","Q",
"ASD14","Amsterdam R","42","Amsterdam","nee","R",
"ASD15","Amsterdam S","42","Amsterdam","nee","S",
"ASD16","Amsterdam T","42","Amsterdam","nee","T",
"ASD17","Amsterdam U","42","Amsterdam","nee","U",
"ASD18","Amsterdam V","42","Amsterdam","nee","V",
"ASD19","Amsterdam W","42","Amsterdam","nee","W",
"ASD20","Amsterdam X","42","Amsterdam","nee","X",
"ASD21","Amsterdam Y","42","Amsterdam","nee","Y",
"ASD22","Amsterdam Z","42","Amsterdam","nee","Z",
"ASD23","Amsterdam AB","42","Amsterdam","nee","AB",
"ASD24","Amsterdam AC","42","Amsterdam","nee","AC",
"ASD25","Amsterdam AD","42","Amsterdam","nee","AD",
"ASD26","Amsterdam AF","42","Amsterdam","nee","AF",
"ASD27","Amsterdam AG","42","Amsterdam","nee","AG",
"ASD28","Amsterdam AH","42","Amsterdam","nee","AH",
"ASD29","Amsterdam AI","42","Amsterdam","nee","AI",
"ASD30","Amsterdam AK","42","Amsterdam","nee","AK",
"ASD31","Amsterdam AL","42","Amsterdam","nee","AL",
"ASD32","Amsterdam AM","42","Amsterdam","nee","AM",
"ASD33","Amsterdam AN","42","Amsterdam","nee","AN",
"ASD34","Amsterdam AO","42","Amsterdam","nee","AO",
"ASD35","Amsterdam AP","42","Amsterdam","nee","AP",
"ASD36","Amsterdam AQ","42","Amsterdam","nee","AQ",
"ASD37","Amsterdam AR","42","Amsterdam","nee","AR",
"ASD41","Amsterdam AU","42","Amsterdam","nee","AU",
"ASD42","Amsterdam AV","42","Amsterdam","nee","AV",
"ASD43","Amsterdam AW","42","Amsterdam","nee","AW",
"ASD38","Amsterdam AS","42","Amsterdam","ja","AS",
"ASD39","Amsterdam AT","42","Amsterdam","ja","AT",
"ASD95","Amsterdam B","42","Amsterdam","ja","B",
"ASD96","Amsterdam C","42","Amsterdam","ja","C",
"ASD97","Amsterdam H","42","Amsterdam","ja","H",
"ASD98","Amsterdam AE","42","Amsterdam","ja","AE",
"ASD99","Amsterdam D","42","Amsterdam","ja","D",
"ADK00","Andijk","43","Andijk","nee",,
"AGR00","Angeren","44","Angeren","nee",,
"AGL00","Angerlo","45","Angerlo","nee",,
"AJM00","Anjum","46","Anjum","nee",,
"AKV00","Ankeveen","47","Ankeveen","nee",,
"ALO00","Anloo","48","Anloo","nee",,
"ANA01","Anna Paulowna","49","Anna Paulowna","nee",,
"APD01","Apeldoorn","50","Apeldoorn","nee","A","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","AA","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","AB","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","AE","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","B","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","C","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","D","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","E","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","F","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","H","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","I","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","L","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","M","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","N","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","O","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","P","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","U","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","V","sectie A t/m AB en AE"
"APD01","Apeldoorn","50","Apeldoorn","nee","Z","sectie A t/m AB en AE"
"APD02","Apeldoorn AC","50","Apeldoorn","nee","AC",
"APD03","Apeldoorn AD","50","Apeldoorn","nee","AD",
"APD04","Apeldoorn AF","50","Apeldoorn","nee","AF",
"APT00","Appeltern","51","Appeltern","nee",,
"APG00","Appingedam","52","Appingedam","nee",,
"ACN00","Arcen en Velden","53","Arcen en Velden","nee",,
"AKL00","Arkel","54","Arkel","nee",,
"ANM00","Arnemuiden","55","Arnemuiden","nee",,
"AHM01","Arnhem","56","Arnhem","nee","A","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","AB","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","B","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","C","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","D","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","E","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","G","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","H","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","I","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","K","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","L","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","M","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","N","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","O","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","P","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","Q","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","R","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","S","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","T","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","U","sectie A t/m W en AB"
"AHM01","Arnhem","56","Arnhem","nee","W","sectie A t/m W en AB"
"AHM02","Arnhem AA","56","Arnhem","nee","AA",
"AHM03","Arnhem AC","56","Arnhem","nee","AC",
"AHM04","Arnhem AE","56","Arnhem","nee","AE",
"AHM05","Arnhem AF","56","Arnhem","nee","AF",
"ARM00","Arum","57","Arum","nee",,
"APR00","Asperen","58","Asperen","nee",,
"ASN00","Assen","59","Assen","nee",,
"ASD01","Assendelft","60","Assendelft","nee",,
"ATN01","Asten","61","Asten","nee",,
"AVE00","Avereest","62","Avereest","nee",,
"AEL00","Axel","63","Axel","nee",,
"BBG02","Baambrugge","64","Baambrugge","nee",,
"BAA02","Baard","65","Baard","nee",,
"BWK03","Baardwijk","66","Baardwijk","ja",,
"BLE01","Baarle - Nassau","67","Baarle-Nassau","nee",,
"BAA01","Baarn","68","Baarn","nee",,
"BXM00","Baexem","69","Baexem","nee",,
"BLO00","Baflo","70","Baflo","nee",,
"BAH00","Bahr en Lathum","71","Bahr en Lathum","nee",,
"BKL02","Bakel en Milheeze","72","Bakel en Milheeze","nee",,
"BGY00","Balgoy","73","Balgoy","nee",,
"BAL00","Balk","74","Balk","nee",,
"BLM00","Ballum","75","Ballum","nee",,
"BRD00","Barendrecht","76","Barendrecht","nee",,
"BNV00","Barneveld","77","Barneveld","nee",,
"BSG00","Barsingerhorn","78","Barsingerhorn","nee",,
"BWW00","Barwoutswaarder","79","Barwoutswaarder","nee",,
"BTB00","Batenburg","80","Batenburg","nee",,
"BAT00","Bath","81","Bath","ja",,
"BMN02","Bathmen","82","Bathmen","nee",,
"BDM00","Bedum","83","Bedum","nee",,
"BDN00","Beegden","84","Beegden","nee",,
"BEE02","Beek","85","Beek","nee",,
"BEE01","Beek en Donk","86","Beek en Donk","nee",,
"BBG01","Beekbergen","87","Beekbergen","nee",,
"BSR00","Beemster","88","Beemster","nee",,
"BEE04","Beers","89","Beers","ja",,
"BTA00","Beerta","90","Beerta","nee",,
"BEE03","Beesd","91","Beesd","nee",,
"BSL02","Beesel","92","Beesel","nee",,
"BGM01","Beetgum","93","Beetgum","nee",,
"BEE05","Beets","94","Beets","nee",,
"BSZ00","Beetsterzwaag","95","Beetsterzwaag","nee",,
"BLN00","Beilen","96","Beilen","nee",,
"BFD00","Belfeld","97","Belfeld","nee",,
"BLW00","Bellingwolde","98","Bellingwolde","nee",,
"BTM00","Beltrum","99","Beltrum","ja",,
"BML01","Bemelen","100","Bemelen","nee",,
"BML02","Bemmel","101","Bemmel","nee",,
"BNB00","Bennebroek","102","Bennebroek","nee",,
"BNK01","Bennekom","103","Bennekom","nee",,
"BSP00","Benschop","104","Benschop","nee",,
"BHZ02","Benthuizen","105","Benthuizen","nee",,
"BER01","Berg en Terblijt","106","Berg en Terblijt","nee",,
"BAB00","Bergambacht","107","Bergambacht","nee",,
"BEK00","Bergeijk","108","Bergeijk","nee",,
"BGN02","Bergen (L)","109","Bergen Limburg","nee",,
"BGN03","Bergen (N.H.)","110","Bergen Noord-Holland","nee",,
"BGN01","Bergen op Zoom","111","Bergen op Zoom","nee",,
"BER02","Bergh","112","Bergh","nee",,
"BHR02","Bergharen","113","Bergharen","nee",,
"BHM00","Berghem","114","Berghem","nee",,
"BSH00","Bergschenhoek","115","Bergschenhoek","nee",,
"BGM02","Bergum","116","Bergum","nee",,
"BKL04","Berkel","117","Berkel","nee",,
"BKL99","Berkel","117","Berkel","ja",,
"BKL01","Berkel en Rodenrijs","118","Berkel en Rodenrijs","nee",,
"BKW00","Berkenwoude","119","Berkenwoude","nee",,
"BLC00","Berlicum","120","Berlicum","nee",,
"BLK00","Berlikum","121","Berlikum","nee",,
"BNS04","Bernisse","122","Bernisse","nee",,
