"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"ADP","Andorrese peseta","2001-01-01","2002-01-01",
"AED","Dirham uit de Verenigde Arabische Emiraten","2001-01-01",,
"AFA","Afghaanse afghani","2001-01-01","2002-01-01",
"AFN","Afghaanse afghani","2001-01-01",,
"ALL","Albanese lek","2001-01-01",,
"AMD","Armeense dram","2001-01-01",,
"ANG","Nederlands Antilliaanse gulden","2001-01-01",,
"AOA","Angolese kwanza","2001-01-01",,
"AOK","Angolese kwanza","2001-01-01","2002-01-01",
"AOR","Angolese kwanza reajustado","2001-01-01","2002-01-01",
"ARP","Argentijnse peso","2001-01-01","2002-01-01",
"ARS","Argentijnse peso","2001-01-01",,
"ATS","Oostenrijkse schilling","2001-01-01","2002-01-01",
"AUD","Australische dollar","2001-01-01",,
"AWG","Arubaanse gulden","2001-01-01",,
"AZM","Manat uit Azerbeidzjan","2001-01-01","2002-01-01",
"AZN","Manat uit Azerbeidzjan","2001-01-01",,
"BAM","Bosnische Mark","2001-01-01",,
"BBD","Dollar uit Barbados","2001-01-01",,
"BDT","Taka uit Bangladesh","2001-01-01",,
"BEF","Belgische frank","2001-01-01","2002-01-01",
"BGL","Bulgaarse lev","2001-01-01","2002-01-01",
"BGN","Bulgaarse lev","2001-01-01",,
"BHD","Bahreinse dinar","2001-01-01",,
"BIF","Burundische frank","2001-01-01",,
"BLF","Burundische franc","2001-01-01","2002-01-01",
"BMD","Bermudaanse dollar","2001-01-01",,
"BND","Bruneise dollar","2001-01-01",,
"BOB","Boliviaanse boliviano","2001-01-01",,
"BRL","Braziliaanse real cruzeiro","2001-01-01",,
"BSD","Bahamaanse dollar","2001-01-01",,
"BTN","Bhutaanse Ngultrum","2001-01-01",,
"BWP","Botswaanse pula","2001-01-01",,
"BYB","Roebel uit Wit Rusland","2001-01-01","2002-01-01",
"BYR","Roebel uit Wit Rusland","2001-01-01",,
"BZD","Belizaanse dollar","2001-01-01",,
"CAD","Canadese dollar","2001-01-01",,
"CDF","Congolese Dollar","2001-01-01",,
"CHF","Zwitserse frank","2001-01-01",,
"CLP","Chileense peso","2001-01-01",,
"CNY","Chinese Yuan renminbi","2001-01-01",,
"COP","Colombiaanse peso","2001-01-01",,
"COU","Colombiaanse unidad de valor real","2001-01-01",,
"CRC","Costaricaanse colon","2001-01-01",,
"CSD","Servische Dinar","2001-01-01",,
"CUP","Cubaanse peso","2001-01-01",,
"CVE","Kaapverdische escudo","2001-01-01",,
"CYP","Cypriotisch pond","2001-01-01","2002-01-01",
"CZK","Tsjechische koruna","2001-01-01",,
"DEM","Duitse mark","2001-01-01","2002-01-01",
"DJF","Djiboutiaanse franc","2001-01-01",,
"DKK","Deense kroon","2001-01-01",,
"DOP","Dominicaanse peso","2001-01-01",,
"DZD","Algerijnse dinar","2001-01-01",,
"ECS","Ecuadoraanse sucre","2001-01-01","2002-01-01",
"EEK","Estlandse kroon","2001-01-01",,
"EGP","Egyptisch pond","2001-01-01",,
"ERN","Eritrese Nafka","2001-01-01",,
"ESP","Spaanse peseta","2001-01-01","2002-01-01",
"ETB","Ethiopische birr","2001-01-01",,
"EUR","Euro","2001-01-01",,
"FIM","Finse markka","2001-01-01","2002-01-01",
"FJD","Fijische dollar","2001-01-01",,
"FKP","Pond van de Falkland-eilanden","2001-01-01",,
"FRF","Franse franc","2001-01-01","2002-01-01",
"GBP","Engelse pond sterling","2001-01-01",,
"GEK","Georgische kupon","2001-01-01","2002-01-01",
"GEL","Georgische Lari","2001-01-01",,
"GHC","Ghanese cedi","2001-01-01",,
"GIP","Gibraltarees pond","2001-01-01",,
"GLD","Nederlandse gulden","2001-01-01","2002-01-01",
"GMD","Gambiaanse dalasi","2001-01-01",,
"GNF","Guinese franc","2001-01-01",,
"GRD","Griekse drachme","2001-01-01","2002-01-01",
"GTQ","Guatemalteekse quetzal","2001-01-01",,
"GWP","Guineebissause peso","2001-01-01","2002-01-01",
"GYD","Guyaanse dollar","2001-01-01",,
"HKD","Hongkong dollar","2001-01-01",,
"HNL","Hondurese lempira","2001-01-01",,
"HRK","Kroatische kuna","2001-01-01",,
"HTG","Haïtiaanse gourde","2001-01-01",,
"HUF","Hongaarse forint","2001-01-01",,
"IDR","Indonesische rupiah","2001-01-01",,
"IEP","Ierse pond","2001-01-01","2002-01-01",
"ILS","Israëlische shekel","2001-01-01",,
"INR","Indiase rupee","2001-01-01",,
"IQD","Iraakse dinar","2001-01-01",,
"IRR","Iraanse rial","2001-01-01",,
"ISK","IJslandse kroon","2001-01-01",,
"ITL","Italiaanse lire","2001-01-01","2002-01-01",
"JMD","Jamaicaanse dollar","2001-01-01",,
"JOD","Jordaanse dinar","2001-01-01",,
"JPY","Japanse yen","2001-01-01",,
"KES","Kenyaanse shilling","2001-01-01",,
"KGS","Kirgizische som","2001-01-01",,
"KHR","Cambodjaanse riel","2001-01-01",,
"KMF","Comorese frank","2001-01-01",,
"KPW","Noord-Koreaanse won","2001-01-01",,
"KRW","Zuid-Koreaanse won","2001-01-01",,
"KWD","Koeweitse nieuwe dinar","2001-01-01",,
"KYD","Dollar van de Kaaiman-eilanden","2001-01-01",,
"KZT","Tenge uit Kazachstan","2001-01-01",,
"LAK","Laotiaanse kip","2001-01-01",,
"LBP","Libanese pond","2001-01-01",,
"LKR","Srilankaanse rupee","2001-01-01",,
"LRD","Liberiaanse dollar","2001-01-01",,
"LSL","Lesothaanse loti","2001-01-01",,
"LTL","Litouwse Litas","2001-01-01",,
"LUF","Luxemburgse franc","2001-01-01","2002-01-01",
"LVL","Letlandse lat","2001-01-01",,
"LYD","Libische dinar","2001-01-01",,
"MAD","Marokkaanse dirham","2001-01-01",,
"MDL","Moldavische lev","2001-01-01",,
"MGA","Malagassische ariary","2001-01-01",,
"MGF","Malagassische frank","2001-01-01","2002-01-01",
"MKD","Macedonische Dinar","2001-01-01",,
"MMK","Myanmarese kyat","2001-01-01",,
"MNT","Mongoolse tugrik","2001-01-01",,
