"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Alkmaar",,"2008-11-24","AM"
"2","Amsterdam",,"2006-06-12","AD"
"3","Arnhem",,"2006-06-12","AH"
"4","Assen",,"2007-06-22","AS"
"5","Breda",,"2009-04-20","BD"
"6","Eindhoven",,"2006-06-12","EH"
"7","Groningen",,"2006-06-12","GN"
"8","Leeuwarden",,"2009-03-23","LA"
"9","Lelystad","1990-01-01","2007-05-31","LL"
"10","Middelburg",,"2009-08-21","MD"
"11","Roermond",,"2009-07-13","RM"
"12","Rotterdam",,"2006-06-12","RT"
"13","Utrecht",,"2008-11-24","UT"
"14","Zoetermeer",,"2008-10-31","GV"
"15","Zwolle",,"2006-06-12","ZL"
