"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"belemmeringenwetlandsverdediging","Belemmeringenwet Landsverdediging","2023-02-01",,"Belemmeringenwet Landsverdediging"
"belemmeringenwetprivaatrecht","Belemmeringenwet Privaatrecht","2023-02-01",,"Belemmeringenwet Privaatrecht"
"erfgoedwet","Erfgoedwet","2023-02-01",,"Erfgoedwet"
"gemeentewet","Gemeentewet","2023-02-01",,"Gemeentewet"
"huisvestingswet2014","Huisvestingswet 2014","2023-02-01",,"Huisvestingswet 2014"
"ontgrondingenwet","Ontgrondingenwet","2023-02-01",,"Ontgrondingenwet"
"opiumwet","Opiumwet","2023-02-01",,"Opiumwet"
"provinciewet","Provinciewet","2023-02-01",,"Provinciewet"
"waterwet","Waterwet","2023-02-01",,"Waterwet"
"wetagrarischgrondverkeer","Wet agrarisch grondverkeer","2023-02-01",,"Wet agrarisch grondverkeer"
"wetalgemenebepalingenomgevingsrecht","Wet algemene bepalingen omgevingsrecht","2023-02-01",,"Wet algemene bepalingen omgevingsrecht"
"wetbodembescherming","Wet bodembescherming","2023-02-01",,"Wet bodembescherming"
"wetinzakedeluchtverontreiniging","Wet inzake de luchtverontreiniging","2023-02-01",,"Wet inzake de luchtverontreiniging"
"wetruimtelijkeordening","Wet ruimtelijke ordening","2023-02-01",,"Wet ruimtelijke ordening"
"wetvoorkeursrechtgemeenten","Wet voorkeursrecht gemeenten","2023-02-01",,"Wet voorkeursrecht gemeenten"
"woningwet","Woningwet","2023-02-01",,"Woningwet"
"wetnatuurbescherming","Wet natuurbescherming","2023-02-01",,"Wet natuurbescherming"
