"Code","Niveau1","Niveau2","Niveau3","DatumVanaf","DatumTot","Toelichting"
"nl.brk.eigendomsinformatie.appartementsrechtsplitsingverwerkt","brk","eigendomsinformatie","appartementsrechtsplitsingverwerkt","2023-02-01",,"Appartementsrechtsplitsing verwerkt"
"nl.brk.eigendomsinformatie.beperktrechtverwerkt","brk","eigendomsinformatie","beperktrechtverwerkt","2023-02-01",,"Beperkt recht verwerkt"
"nl.brk.eigendomsinformatie.beslagofrechtsmiddelverwerkt","brk","eigendomsinformatie","beslagofrechtsmiddelverwerkt","2023-02-01",,"Beslag of rechtsmiddel verwerkt"
"nl.brk.eigendomsinformatie.brondocumentgesignaleerd","brk","eigendomsinformatie","brondocumentgesignaleerd","2023-02-01",,"Brondocument gesignaleerd"
"nl.brk.eigendomsinformatie.burenrechtofkwalitatieveverplichtingverwerkt","brk","eigendomsinformatie","burenrechtofkwalitatieveverplichtingverwerkt","2023-02-01",,"Burenrecht of kwalitatieve verplichting verwerkt"
"nl.brk.eigendomsinformatie.erfdienstbaarheidofmandeligheidverwerkt","brk","eigendomsinformatie","erfdienstbaarheidofmandeligheidverwerkt","2023-02-01",,"Erfdienstbaarheid of mandeligheid verwerkt"
"nl.brk.eigendomsinformatie.faillietverklaringofbewindverwerkt","brk","eigendomsinformatie","faillietverklaringofbewindverwerkt","2023-02-01",,"Faillietverklaring of bewind verwerkt"
"nl.brk.eigendomsinformatie.herverkavelingverwerkt","brk","eigendomsinformatie","herverkavelingverwerkt","2023-02-01",,"Herverkaveling verwerkt"
"nl.brk.eigendomsinformatie.koopovereenkomstverwerkt","brk","eigendomsinformatie","koopovereenkomstverwerkt","2023-02-01",,"Koopovereenkomst verwerkt"
"nl.brk.eigendomsinformatie.kostenenrenteverwerkt","brk","eigendomsinformatie","kostenenrenteverwerkt","2023-02-01",,"Kosten en rente verwerkt"
"nl.brk.eigendomsinformatie.meldingontvangengegevensinonderzoekgeplaatst","brk","eigendomsinformatie","meldingontvangengegevensinonderzoekgeplaatst","2023-02-01",,"Melding ontvangen, gegevens in onderzoek geplaatst"
"nl.brk.eigendomsinformatie.netwerkverwerkt","brk","eigendomsinformatie","netwerkverwerkt","2023-02-01",,"Netwerk verwerkt"
"nl.brk.eigendomsinformatie.overdrachtverwerkt","brk","eigendomsinformatie","overdrachtverwerkt","2023-02-01",,"Overdracht verwerkt"
"nl.brk.eigendomsinformatie.overheidsbesluitverwerkt","brk","eigendomsinformatie","overheidsbesluitverwerkt","2023-02-01",,"Overheidsbesluit verwerkt"
"nl.brk.eigendomsinformatie.overheidsbesluitverwerkt.correctie","brk","eigendomsinformatie","overheidsbesluitverwerkt.correctie","2023-02-01",,"Overheidsbesluit verwerkt (correctie)"
"nl.brk.eigendomsinformatie.overigewijzigingverwerkt","brk","eigendomsinformatie","overigewijzigingverwerkt","2023-02-01",,"Overige wijziging verwerkt"
"nl.brk.eigendomsinformatie.overigewijzigingverwerkt.correctie","brk","eigendomsinformatie","overigewijzigingverwerkt.correctie","2023-02-01",,"Overige wijziging verwerkt (correctie)"
"nl.brk.eigendomsinformatie.perceelswijzigingverwerkt","brk","eigendomsinformatie","perceelswijzigingverwerkt","2023-02-01",,"Perceelswijziging verwerkt"
"nl.brk.eigendomsinformatie.registratieherverkavelingsgebiedverwerkt","brk","eigendomsinformatie","registratieherverkavelingsgebiedverwerkt","2023-02-01",,"Registratie herverkavelingsgebied verwerkt"
"nl.brk.eigendomsinformatie.verbeteringverzocht","brk","eigendomsinformatie","verbeteringverzocht","2023-02-01",,"Verbetering verzocht"
"nl.brk.eigendomsinformatie.verbeteringverzocht.correctie","brk","eigendomsinformatie","verbeteringverzocht.correctie","2023-02-01",,"Verbetering verzocht (correctie)"
"nl.brk.eigendomsinformatie.waardeloosheidofvervallenvoorwaardenverwerkt","brk","eigendomsinformatie","waardeloosheidofvervallenvoorwaardenverwerkt","2023-02-01",,"Waardeloosheid of vervallen voorwaarden verwerkt"
