"Code","Waarde","DatumVanaf","DatumTot","Hyp3","Hyp4","OnroerendeZaken","Schepen","Luchtvaartuigen","TekeningVerplicht","OCRGescandStukToegestaan","SynoniemenOfZoektermen","KIKCategorie","Toelichting"
"1","Appartementsrechtsplitsing (hoofdsplitsing of ondersplitsing)","2020-12-01",,,"X","X",,,"Ja",,,,
"2","Appartementsrechtsplitsing (spiegelsplitsing)","2020-12-01",,,"X","X",,,,,,,
"3","Appartementsrechtsplitsing opheffing","2020-12-01",,,"X","X",,,,,,,
"4","Appartementsrechtsplitsing wijziging met tekening","2020-12-01",,,"X","X",,,"Ja",,,,
"5","Appartementsrechtsplitsing wijziging zonder tekening","2020-12-01",,,"X","X",,,,,,,
"9","Cessie","2020-12-01",,"X",,"X",,"X",,,,,
"10","Hypotheek (doorhaling)","2020-12-01",,"X",,"X","X","X",,,"Royement","Doorhaling hypotheek",
"11","Hypotheek (vestiging)","2020-12-01",,"X",,"X","X","X",,,"Bijverband","Hypotheek",
"12","Hypotheek (wijziging)","2020-12-01",,"X",,"X","X","X",,,"Hoofdsom, Voorwaarden",,
"13","Rangwisseling","2020-12-01",,"X","X","X","X","X",,,,,
"14","Bewind","2020-12-01",,"X","X","X","X","X",,"Ja","Onderbewindstelling",,
"15","Faillietverklaring","2020-12-01",,,"X","X","X","X",,,"Faillissement",,
"16","Huwelijk of geregistreerd partnerschap","2020-12-01",,,"X","X","X","X",,,,,
"17","Fusie","2020-12-01",,"X","X","X","X","X",,,,,
"18","Naamswijziging","2020-12-01",,"X","X","X","X","X",,,,,
"19","Omzetting rechtspersoon","2020-12-01",,"X","X","X","X","X",,,,,
"20","Splitsen rechtspersoon","2020-12-01",,"X","X","X","X","X",,,,,
"21","Inbreng in of ontbinding van personenvennootschap","2020-12-01",,,"X","X","X","X",,,"VOF, CV, Maatschap",,
"22","Koopovereenkomst (beëindiging)","2020-12-01",,,"X","X","X","X",,,"Koopovereenkomst (doorhaling), Waardeloosheid koopovereenkomst",,
"23","Koopovereenkomst (inschrijving)","2020-12-01",,,"X","X","X","X",,,"Vormerkung","Notariële verklaring",
"24","Aanvullende akte","2020-12-01",,"X","X","X","X","X",,,,,
"25","Algemene voorwaarden","2020-12-01",,"X","X","X","X","X",,,,,
"26","Reglement mede-eigenaren","2020-12-01",,,"X","X","X","X",,,,,
"27","Burenrecht","2020-12-01",,,"X","X",,,,,,,
