"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"1","Afstand","2022-07-01",,
"2","Afstand tussen 2 punten","2022-07-01",,
"3","Archiefnummer","2022-07-01",,
"4","Basislijn","2022-07-01",,
"5","Boog","2022-07-01",,
"6","Classificatiecode","2022-07-01",,
"7","ComputationType","2022-07-01",,
"8","Coordinaat","2022-07-01",,
"9","Coordinatenstelsel","2022-07-01",,
"10","DatumReonstructiebestand","2022-07-01",,
"11","Dimensie","2022-07-01",,
"12","Fase vereffening","2022-07-01",,
"13","F-Toets","2022-07-01",,
"14","GPSBasisstation","2022-07-01",,
"15","Haaksheid","2022-07-01",,
"16","Hoek","2022-07-01",,
"17","Hoekeenheid","2022-07-01",,
"18","Hoekmeting","2022-07-01",,
"19","Identiekverklaring","2022-07-01",,
"20","Kadgemcode","2022-07-01",,
"21","Lengte eenheid","2022-07-01",,
"22","Lengtemeting","2022-07-01",,
"23","Lijncode","2022-07-01",,
"24","Lijncode","2022-07-01",,
"25","LijnType","2022-07-01",,
"26","Meerdere bestanden","2022-07-01",,
"27","Meetband","2022-07-01",,
"28","Point","2022-07-01",,
"29","Punt","2022-07-01",,
"30","Puntnummer","2022-07-01",,
"31","Richting","2022-07-01",,
"32","Samenvatting (out1)","2022-07-01",,
"33","Sectie","2022-07-01",,
"34","Standaardafwijking","2022-07-01",,
"35","Station","2022-07-01",,
"36","Stations","2022-07-01",,
"37","Total station","2022-07-01",,
"38","Vector","2022-07-01",,
"39","Veldwerk","2022-07-01",,
"40","Voetmaat loodlijn","2022-07-01",,
"41","Zenithoek","2022-07-01",,
