"Code","Waarde","DatumVanaf","DatumTot","Toelichting"
"B","baron","2011-01-01",,"titel"
"BS","barones","2011-01-01",,"titel"
"G","graaf","2011-01-01",,"titel"
"GI","gravin","2011-01-01",,"titel"
"H","hertog","2011-01-01",,"titel"
"HI","hertogin","2011-01-01",,"titel"
"JH","jonkheer","2011-01-01",,"predicaat"
"JV","jonkvrouw","2011-01-01",,"predicaat"
"M","markies","2011-01-01",,"titel"
"MI","markiezin","2011-01-01",,"titel"
"P","prins","2011-01-01",,"titel"
"PS","prinses","2011-01-01",,"titel"
"R","ridder","2011-01-01",,"titel"
